What	WP	What
a	DT	a
disappointment	NN	disappointment
This	DT	this
film	NN	film
seemed	VBD	seem
to	TO	to
be	VB	be
trying	VBG	try
to	TO	to
copy	NN	copy
'	POS	'
cutting	VBG	cut
edge	NN	edge
'	POS	'
comedy	NN	comedy
but	CC	but
the	DT	the
direction	NN	direction
and	CC	and
the	DT	the
script	NN	script
was	VBD	be
sloppy	JJ	sloppy
sickly	JJ	sickly
and	CC	and
sentimental	JJ	sentimental
in	IN	in
the	DT	the
worst	JJS	bad
film	NN	film
tradition	NN	tradition
Jack	NP	Jack
Black	NP	Black
's	POS	's
acting	VBG	act
role	NN	role
was	VBD	be
self	JJ	self
indulgent	JJ	indulgent
and	CC	and
self	JJ	self
regarding	VBG	regard
and	CC	and
the	DT	the
other	JJ	other
characters	NNS	character
were	VBD	be
equally	RB	equally
unmasking	VBG	unmask
and	CC	and
uninteresting	VBG	uninterest
The	DT	the
soundtrack	NN	soundtrack
was	VBD	be
tedious	JJ	tedious
We	PP	we
are	VBP	be
WERE	NP	<unknown>
fans	NNS	fan
of	IN	of
Black	NP	Black
but	CC	but
none	NN	none
of	IN	of
us	PP	us
did	VBD	do
more	JJR	more
than	IN	than
mange	NN	mange
a	DT	a
forced	VBN	force
titter	NN	titter
for	IN	for
the	DT	the
duration	NN	duration
Why	WRB	why
did	VBD	do
he	PP	he
feel	VBP	feel
he	PP	he
needed	VBD	need
to	TO	to
make	VB	make
this	DT	this
mistake	NN	mistake
We	PP	we
will	MD	will
not	RB	not
watch	VB	watch
another	DT	another
of	IN	of
his	PP$	his
films	NNS	film
without	IN	without
reading	VBG	read
reviews	NNS	review
more	RBR	more
carefully	RB	carefully
first	JJ	first
Was	VBD	be
he	PP	he
drunk	VBN	drink
when	WRB	when
he	PP	he
read	VBP	read
the	DT	the
script	NN	script
before	IN	before
signing	VBG	sign
up	RP	up
for	IN	for
this	DT	this
drivel	NN	drivel
