One	CD	One
of	IN	of
the	DT	the
best	JJS	good
love	NN	love
stories	NNS	storey
I	PP	I
have	VBP	have
ever	RB	ever
seen	VBN	see
It	PP	it
is	VBZ	be
a	DT	a
bit	NN	bit
like	IN	like
watching	VBG	watch
a	DT	a
train	NN	train
wreck	NN	wreck
in	IN	in
slow	JJ	slow
motion	NN	motion
but	CC	but
lovely	JJ	lovely
nonetheless	RB	nonetheless
Big	NP	Big
Edie	NP	Edie
and	CC	and
Little	NP	Little
Edie	NP	Edie
seem	VBP	seem
a	DT	a
bit	NN	bit
like	IN	like
family	NN	family
members	NNS	member
after	IN	after
watching	VBG	watch
this	DT	this
movie	NN	movie
repeatedly	RB	repeatedly
and	CC	and
are	VBP	be
infinitely	RB	infinitely
quotable	JJ	quotable
"	''	"
It	PP	it
's	VBZ	be
a	DT	a
goddamned	JJ	<unknown>
beautiful	JJ	beautiful
day	NN	day
now	RB	now
will	MD	will
you	PP	you
just	RB	just
shut	VBD	shut
up	RP	up
"	``	"
The	DT	the
opening	NN	opening
explanation	NN	explanation
of	IN	of
Little	NP	Little
Edie	NP	Edie
's	POS	's
costume	NN	costume
only	RB	only
promises	VBZ	promise
that	IN	that
the	DT	the
movie	NN	movie
will	MD	will
live	VB	live
on	IN	on
forever	RB	forever
and	CC	and
so	RB	so
will	MD	will
Big	NP	Big
Edie	NP	Edie
"	``	"
The	DT	the
World	NP	World
Famous	NP	Famous
Singer	NP	Singer
"	''	"
and	CC	and
Little	NP	Little
Edie	NP	Edie
"	``	"
The	DT	the
World	NP	World
Famous	NP	Famous
Dancer	NP	Dancer
"	''	"
