What	WP	What
more	JJR	more
can	MD	can
I	PP	I
say	VB	say
The	DT	the
acting	VBG	act
was	VBD	be
almost	RB	almost
without	IN	without
exception	NN	exception
amateurish	JJ	amateurish
The	DT	the
directing	NN	directing
and	CC	and
continuity	NN	continuity
were	VBD	be
pitiful	JJ	pitiful
The	DT	the
sceenplay	NN	<unknown>
was	VBD	be
predictable	JJ	predictable
down	RB	down
to	TO	to
the	DT	the
very	RB	very
last	JJ	last
scene	NN	scene
and	CC	and
the	DT	the
dialog	NN	dialog
tedious	JJ	tedious
One	CD	One
of	IN	of
the	DT	the
features	NNS	feature
on	IN	on
the	DT	the
DVD	NN	<unknown>
was	VBD	be
labeled	VBN	label
"	``	"
Gag	NP	<unknown>
Reel	NP	Reel
"	''	"
but	CC	but
that	IN	that
could	MD	could
have	VB	have
been	VBN	be
a	DT	a
description	NN	description
of	IN	of
a	DT	a
viewer	NN	viewer
's	POS	's
reaction	NN	reaction
to	TO	to
most	JJS	most
of	IN	of
the	DT	the
movie	NN	movie
One	CD	One
of	IN	of
the	DT	the
most	RBS	most
amusing	JJ	amusing
things	NNS	thing
was	VBD	be
in	IN	in
the	DT	the
director	NN	director
's	POS	's
comments	NNS	comment
on	IN	on
the	DT	the
DVD	NN	<unknown>
He	PP	he
said	VBD	say
with	IN	with
a	DT	a
straight	JJ	straight
face	NN	face
that	IN	that
he	PP	he
had	VBD	have
set	VBN	set
out	RP	out
to	TO	to
make	VB	make
a	DT	a
movie	NN	movie
with	IN	with
high	JJ	high
production	NN	production
values	NNS	value
and	CC	and
a	DT	a
name	NN	name
cast	NN	cast
and	CC	and
that	IN	that
he	PP	he
had	VBD	have
succeeded	VBN	succeed
With	IN	with
delusions	NNS	delusion
like	VBP	like
that	IN	that
it	PP	it
's	VBZ	be
easy	JJ	easy
to	TO	to
understand	VB	understand
how	WRB	how
the	DT	the
movie	NN	movie
turned	VBD	turn
out	RP	out
as	IN	as
it	PP	it
did	VBD	do
Perhaps	RB	perhaps
the	DT	the
most	RBS	most
disappointing	JJ	disappointing
aspect	NN	aspect
was	VBD	be
the	DT	the
monster	NN	monster
The	DT	the
darkwolf	NN	<unknown>
suit	NN	suit
was	VBD	be
a	DT	a
modified	JJ	modified
ape	NN	ape
suit	NN	suit
per	IN	per
the	DT	the
'	''	'
making	VBG	make
of	IN	of
'	''	'
feature	NN	feature
on	IN	on
the	DT	the
DVD	NN	<unknown>
and	CC	and
rather	RB	rather
looked	VBD	look
it	PP	it
The	DT	the
mask	NN	mask
and	CC	and
claws	NNS	claw
were	VBD	be
little	RB	little
better	JJR	good
than	IN	than
off	IN	off
the	DT	the
shelf	NN	shelf
jobs	NNS	job
from	IN	from
any	DT	any
costume	JJ	costume
store	NN	store
The	DT	the
cgi	NN	<unknown>
effects	NNS	effect
were	VBD	be
painfully	RB	painfully
obvious	JJ	obvious
and	CC	and
of	IN	of
quality	NN	quality
similar	JJ	similar
to	TO	to
an	DT	an
inexpensive	JJ	inexpensive
video	NN	video
game	NN	game
