How	WRB	How
do	VBP	do
I	PP	I
begin	VB	begin
This	DT	this
movie	NN	movie
is	VBZ	be
probably	RB	probably
one	CD	one
of	IN	of
the	DT	the
worst	JJS	bad
movies	NNS	movie
I	PP	I
have	VBP	have
ever	RB	ever
seen	VBN	see
It	PP	it
has	VBZ	have
no	DT	no
redeemable	JJ	redeemable
qualities	NNS	quality
I	PP	I
just	RB	just
sat	VBD	sit
through	IN	through
this	DT	this
movie	NN	movie
and	CC	and
it	PP	it
was	VBD	be
a	DT	a
struggle	NN	struggle
It	PP	it
failed	VBD	fail
to	TO	to
get	VB	get
even	RB	even
a	DT	a
single	JJ	single
smile	NN	smile
on	IN	on
my	PP$	my
face	NN	face
I	PP	I
find	VBP	find
it	PP	it
hard	JJ	hard
to	TO	to
believe	VB	believe
that	DT	that
anyone	NN	anyone
would	MD	would
distribute	VB	distribute
this	DT	this
horrible	JJ	horrible
film	NN	film
I	PP	I
felt	VBD	feel
that	IN	that
this	DT	this
movie	NN	movie
was	VBD	be
a	DT	a
failed	JJ	failed
attempt	NN	attempt
at	IN	at
distasteful	JJ	distasteful
humor	NN	humor
The	DT	the
only	JJ	only
thing	NN	thing
that	WDT	that
was	VBD	be
worth	JJ	worth
anything	NN	anything
about	IN	about
this	DT	this
movie	NN	movie
was	VBD	be
the	DT	the
soundtrack	NN	soundtrack
I	PP	I
'm	VBP	be
pretty	RB	pretty
sure	JJ	sure
thats	NNS	<unknown>
the	DT	the
reason	NN	reason
I	PP	I
wanted	VBD	want
to	TO	to
see	VB	see
this	DT	this
movie	NN	movie
in	IN	in
the	DT	the
first	JJ	first
place	NN	place
I	PP	I
will	MD	will
wrap	VB	wrap
this	DT	this
up	RP	up
as	IN	as
I	PP	I
am	VBP	be
going	VBG	go
to	TO	to
try	VB	try
and	CC	and
forget	VB	forget
the	DT	the
time	NN	time
I	PP	I
just	RB	just
wasted	VBD	waste
with	IN	with
this	DT	this
piece	NN	piece
of	IN	of
crap	NN	crap
I	PP	I
will	MD	will
leave	VB	leave
you	PP	you
with	IN	with
this	DT	this
warning	VBG	warn
DO	NP	do
NOT	NP	<unknown>
WATCH	NP	<unknown>
THIS	NP	This
FILM	NP	Film
IT	PP	it
SUCKS	NP	<unknown>
