Hey	UH	hey
look	VB	look
deal	NN	deal
with	IN	with
it	PP	it
there	EX	there
are	VBP	be
much	RB	much
better	JJR	good
portrayals	NNS	portrayal
of	IN	of
the	DT	the
hardship	NN	hardship
of	IN	of
black	JJ	black
America	NP	America
than	IN	than
this	DT	this
Although	IN	although
I	PP	I
think	VBP	think
this	DT	this
story	NN	story
is	VBZ	be
weak	JJ	weak
my	PP$	my
criticism	NN	criticism
is	VBZ	be
focused	VBN	focus
on	IN	on
the	DT	the
poor	JJ	poor
execution	NN	execution
of	IN	of
the	DT	the
story	NN	story
which	WDT	which
I	PP	I
have	VBP	have
mentioned	VBN	mention
blows	VBZ	blow
This	DT	this
was	VBD	be
made	VBN	make
in	IN	in
the	DT	the
mid	JJ	mid
80	CD	@card@
's	VBZ	be
and	CC	and
is	VBZ	be
horrible	JJ	horrible
in	IN	in
the	DT	the
music	NN	music
score	NN	score
department	NN	department
It	PP	it
's	VBZ	be
funny	JJ	funny
to	TO	to
see	VB	see
Oprah	NP	Oprah
as	IN	as
a	DT	a
latter	JJ	latter
day	NN	day
crack	NN	crack
whore	NN	whore
type	NN	type
The	DT	the
scene	NN	scene
where	WRB	where
Bigger	NP	<unknown>
stuffs	VBZ	stuff
Elizabeth	NP	Elizabeth
McGovern	NP	McGovern
into	IN	into
the	DT	the
incinerator	NN	incinerator
Pure	NN	<unknown>
classic	JJ	classic
cinema	NN	cinema
First	RB	first
off	IN	off
I	PP	I
do	VBP	do
n't	RB	n't
care	VB	care
how	WRB	how
drunk	JJ	drunk
you	PP	you
are	VBP	be
you	PP	you
will	MD	will
react	VB	react
to	TO	to
1200F	NP	<unknown>
degree	NN	degree
flame	NN	flame
no	DT	no
matter	NN	matter
how	WRB	how
bad	JJ	bad
your	PP$	your
acting	JJ	acting
But	CC	but
they	PP	they
really	RB	really
milked	VBD	milk
that	DT	that
scene	NN	scene
it	PP	it
was	VBD	be
comical	JJ	comical
I	PP	I
'll	MD	will
tell	VB	tell
you	PP	you
what	WP	what
though	IN	though
I	PP	I
had	VBD	have
great	JJ	great
satisfaction	NN	satisfaction
in	IN	in
seeing	VBG	see
Elizabeth	NP	Elizabeth
McGovern	NP	McGovern
burn	VBP	burn
in	IN	in
a	DT	a
faux	NN	faux
death	NN	death
she	PP	she
annoys	VBZ	annoy
me	PP	me
