52	CD	@card@
Pick	NP	Pick
Up	NP	Up
never	RB	never
got	VBD	get
the	DT	the
respect	NN	respect
it	PP	it
should	MD	should
have	VB	have
It	PP	it
works	VBZ	work
on	IN	on
many	JJ	many
levels	NNS	level
and	CC	and
has	VBZ	have
a	DT	a
complicated	JJ	complicated
but	CC	but
followable	JJ	followable
plot	NN	plot
The	DT	the
actors	NNS	actor
involved	VBD	involve
give	VB	give
some	DT	some
of	IN	of
their	PP$	their
finest	JJS	fine
performances	NNS	performance
Ann	NP	Ann
Margret	NP	Margret
Roy	NP	Roy
Scheider	NP	Scheider
and	CC	and
John	NP	John
Glover	NP	Glover
are	VBP	be
perfectly	RB	perfectly
cast	VBN	cast
and	CC	and
provide	VB	provide
deep	JJ	deep
character	NN	character
portrayals	NNS	portrayal
Notable	JJ	notable
too	RB	too
are	VBP	be
Vanity	NP	Vanity
who	WP	who
should	MD	should
have	VB	have
parlayed	VBN	parlay
this	DT	this
into	IN	into
a	DT	a
serious	JJ	serious
acting	JJ	acting
career	NN	career
given	VBN	give
the	DT	the
unexpected	JJ	unexpected
ability	NN	ability
she	PP	she
shows	VBZ	show
and	CC	and
Kelly	NP	Kelly
Preston	NP	Preston
who	WP	who
's	VBZ	be
character	NN	character
will	MD	will
haunt	VB	haunt
you	PP	you
for	IN	for
a	DT	a
few	JJ	few
days	NNS	day
Anyone	NN	Anyone
who	WP	who
likes	VBZ	like
action	NN	action
combined	VBN	combine
with	IN	with
a	DT	a
gritty	JJ	gritty
complicated	JJ	complicated
story	NN	story
will	MD	will
enjoy	VB	enjoy
this	DT	this
