When	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
movies	NNS	movie
I	PP	I
can	MD	can
be	VB	be
pretty	RB	pretty
picky	JJ	picky
and	CC	and
I	PP	I
'll	MD	will
complain	VB	complain
about	IN	about
anything	NN	anything
and	CC	and
everything	NN	everything
that	WDT	that
is	VBZ	be
done	VBN	do
wrong	RB	wrong
While	IN	while
every	DT	every
movie	NN	movie
has	VBZ	have
its	PP$	its
flaws	NNS	flaw
The	DT	the
Night	NP	Night
Listener	NP	<unknown>
had	VBD	have
an	DT	an
exceptionally	RB	exceptionally
low	JJ	low
count	NN	count
If	IN	if
you	PP	you
read	VBP	read
the	DT	the
last	JJ	last
review	NN	review
it	PP	it
was	VBD	be
hard	JJ	hard
since	IN	since
half	NN	half
of	IN	of
it	PP	it
was	VBD	be
written	VBN	write
in	IN	in
caps	NNS	cap
and	CC	and
it	PP	it
contained	VBD	contain
no	DT	no
actual	JJ	actual
information	NN	information
about	IN	about
the	DT	the
movie	NN	movie
you	PP	you
may	MD	may
have	VB	have
been	VBN	be
led	VBN	lead
to	TO	to
believe	VB	believe
that	IN	that
this	DT	this
movie	NN	movie
was	VBD	be
not	RB	not
too	RB	too
well	RB	well
done	VBN	do
Unfortunately	RB	unfortunately
if	IN	if
you	PP	you
read	VBP	read
more	JJR	more
than	IN	than
3	CD	3
lines	NNS	line
into	IN	into
that	DT	that
same	JJ	same
review	NN	review
you	PP	you
discovered	VBD	discover
the	DT	the
poster	NN	poster
's	POS	's
reason	NN	reason
for	IN	for
disdain	VB	disdain
he	PP	he
she	PP	she
does	VBZ	do
not	RB	not
like	VB	like
the	DT	the
fact	NN	fact
that	IN	that
the	DT	the
director	NN	director
is	VBZ	be
gay	JJ	gay
or	CC	or
that	IN	that
the	DT	the
production	NN	production
team	NN	team
smokes	VBZ	smoke
crack	VB	crack
apparently	RB	apparently
So	RB	so
despite	IN	despite
the	DT	the
fact	NN	fact
that	IN	that
I	PP	I
have	VBP	have
never	RB	never
written	VBN	write
a	DT	a
review	NN	review
before	IN	before
I	PP	I
thought	VBD	think
this	DT	this
movie	NN	movie
deserved	VBD	deserve
one	CD	one
based	VBN	base
on	IN	on
its	PP$	its
merits	NNS	merit
not	RB	not
the	DT	the
sexual	JJ	sexual
orientation	NN	orientation
of	IN	of
its	PP$	its
director	NN	director
Let	VB	let
's	VBZ	be
go	VB	go
over	IN	over
a	DT	a
quick	JJ	quick
checklist	NN	checklist
first	JJ	first
1	CD	1
Great	JJ	great
plot	NN	plot
Absolutely	RB	absolutely
I	PP	I
wo	MD	wo
n't	RB	n't
give	VB	give
a	DT	a
shred	NN	shred
of	IN	of
it	PP	it
away	RB	away
but	CC	but
the	DT	the
plot	NN	plot
is	VBZ	be
highly	RB	highly
compelling	JJ	compelling
and	CC	and
definitely	RB	definitely
not	RB	not
what	WP	what
one	PP	one
would	MD	would
expect	VB	expect
based	VBN	base
on	IN	on
the	DT	the
commercials	NNS	commercial
This	DT	this
is	VBZ	be
a	DT	a
thriller	NN	thriller
not	RB	not
a	DT	a
horror	NN	horror
and	CC	and
it	PP	it
should	MD	should
be	VB	be
approached	VBN	approach
as	IN	as
such	PDT	such
The	DT	the
story	NN	story
really	RB	really
will	MD	will
amaze	VB	amaze
you	PP	you
even	RB	even
more	RBR	more
so	RB	so
because	IN	because
it	PP	it
's	VBZ	be
true	JJ	true
and	CC	and
the	DT	the
plot	NN	plot
did	VBD	do
stay	VB	stay
quite	RB	quite
faithful	JJ	faithful
to	TO	to
the	DT	the
actual	JJ	actual
events	NNS	event
2	CD	2
Wonderful	NN	<unknown>
Acting	VBG	act
Oh	UH	oh
Yes	UH	yes
Robin	NP	Robin
Williams	NP	Williams
long	RB	long
ago	RB	ago
broke	VBD	break
free	JJ	free
from	IN	from
the	DT	the
chains	NNS	chain
