How	WRB	How
anyone	NN	anyone
can	MD	can
say	VB	say
this	DT	this
is	VBZ	be
bad	JJ	bad
is	VBZ	be
beyond	IN	beyond
me	PP	me
I	PP	I
loved	VBD	love
this	DT	this
show	NN	show
before	IN	before
I	PP	I
even	RB	even
saw	VBD	see
it	PP	it
For	IN	for
3	CD	3
reasons	NNS	reason
1	CD	1
The	DT	the
Story	NN	story
intrigued	VBD	intrigue
me	PP	me
2	CD	2
Jessica	NP	Jessica
Alba	NP	Alba
and	CC	and
3	CD	3
James	NP	James
Cameron	NP	Cameron
Please	RB	please
ignore	VB	ignore
the	DT	the
bad	JJ	bad
comments	NNS	comment
and	CC	and
Please	RB	please
watch	VB	watch
the	DT	the
whole	JJ	whole
first	JJ	first
Season	NP	Season
before	IN	before
you	PP	you
decide	VBP	decide
that	IN	that
it	PP	it
's	VBZ	be
bad	JJ	bad
because	IN	because
I	PP	I
know	VBP	know
that	IN	that
if	IN	if
you	PP	you
watch	VBP	watch
the	DT	the
first	JJ	first
Season	NP	Season
you	PP	you
will	MD	will
LOVE	NN	love
it	PP	it
and	CC	and
go	VB	go
out	RP	out
and	CC	and
Buy	VB	buy
Season	NP	Season
1	CD	1
as	IN	as
well	RB	well
as	IN	as
Season	NP	Season
2	CD	2
on	IN	on
DVD	NN	<unknown>
and	CC	and
then	RB	then
Join	NN	join
the	DT	the
campaign	NN	campaign
to	TO	to
get	VB	get
Season	NP	Season
3	CD	3
Made	NP	Made
I	NP	I
Hate	NP	<unknown>
Fox	NP	Fox
and	CC	and
I	PP	I
'm	VBP	be
sure	RB	sure
a	DT	a
lot	NN	lot
of	IN	of
you	PP	you
"	``	"
Dark	NP	Dark
Angel	NP	Angel
"	''	"
fans	NNS	fan
hate	VBP	hate
them	PP	them
too	RB	too
They	PP	they
have	VBP	have
a	DT	a
thing	NN	thing
for	IN	for
Canning	NP	Canning
Good	NP	Good
Shows	NP	Shows
Do	VBP	do
n't	RB	n't
you	PP	you
all	RB	all
agree	VBP	agree
