Yes	UH	yes
I	PP	I
admit	VBP	admit
I	PP	I
cried	VBD	cry
during	IN	during
this	DT	this
movie	NN	movie
It	PP	it
was	VBD	be
so	RB	so
incredibly	RB	incredibly
disappointing	JJ	disappointing
that	IN	that
I	PP	I
could	MD	could
n't	RB	n't
help	VB	help
myself	PP	myself
but	CC	but
cry	VBP	cry
TBN	NP	TBN
Trinity	NP	Trinity
Broadcasting	NP	Broadcasting
Network	NP	Network
has	VBZ	have
done	VBN	do
it	PP	it
again	RB	again
First	RB	first
with	IN	with
having	VBG	have
the	DT	the
Million	NP	Million
Dollar	NP	Dollar
Man	NP	Man
ex	JJ	ex
professional	JJ	professional
wrestler	NN	wrestler
on	IN	on
their	PP$	their
program	NN	program
and	CC	and
now	RB	now
this	DT	this
The	NP	The
Omega	NP	Omega
Code	NP	Code
follows	VBZ	follow
a	DT	a
stream	NN	stream
of	IN	of
sketchy	JJ	sketchy
religiously	RB	religiously
oriented	VBN	orient
movies	NNS	movie
It	PP	it
was	VBD	be
quite	RB	quite
amusing	JJ	amusing
yet	RB	yet
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
it	PP	it
was	VBD	be
disturbing	JJ	disturbing
to	TO	to
find	VB	find
it	PP	it
so	RB	so
biblically	RB	biblically
inaccurate	JJ	inaccurate
The	DT	the
movie	NN	movie
follows	VBZ	follow
what	WP	what
is	VBZ	be
known	VBN	know
as	IN	as
"	``	"
the	DT	the
bible	JJ	bible
code	NN	code
"	''	"
rather	RB	rather
than	IN	than
following	VBG	follow
actual	JJ	actual
biblical	JJ	biblical
scripture	NN	scripture
This	DT	this
film	NN	film
is	VBZ	be
extremely	RB	extremely
poorly	RB	poorly
made	VBN	make
from	IN	from
its	PP$	its
writing	NN	writing
to	TO	to
its	PP$	its
directing	NN	directing
to	TO	to
its	PP$	its
hilariously	RB	hilariously
horrible	JJ	horrible
acting	VBG	act
Its	PP$	its
depressing	VBG	depress
that	IN	that
people	NNS	people
actually	RB	actually
put	VBP	put
effort	NN	effort
into	IN	into
this	DT	this
movie	NN	movie
It	PP	it
appeared	VBD	appear
more	JJR	more
like	IN	like
a	DT	a
late	JJ	late
night	NN	night
movie	NN	movie
someone	NN	someone
would	MD	would
watch	VB	watch
on	IN	on
the	DT	the
USA	NP	USA
channel	NN	channel
or	CC	or
a	DT	a
straight	JJ	straight
to	TO	to
home	NN	home
video	NN	video
rather	RB	rather
than	IN	than
a	DT	a
theatrical	JJ	theatrical
released	VBN	release
movie	NN	movie
I	PP	I
highly	RB	highly
recommend	VBP	recommend
you	PP	you
do	VBP	do
not	RB	not
watch	VB	watch
this	DT	this
movie	NN	movie
even	RB	even
if	IN	if
your	PP$	your
life	NN	life
depended	VBD	depend
on	IN	on
it	PP	it
