When	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
horror	NN	horror
movies	NNS	movie
I	PP	I
am	VBP	be
more	JJR	more
than	IN	than
willing	JJ	willing
to	TO	to
suspend	VB	suspend
disbelief	NN	disbelief
ignore	VB	ignore
sub	NN	sub
par	NN	par
production	NN	production
values	NNS	value
and	CC	and
overlook	VB	overlook
plot	NN	plot
holes	NNS	hole
in	IN	in
the	DT	the
interest	NN	interest
of	IN	of
a	DT	a
good	JJ	good
scare	NN	scare
This	DT	this
movies	NNS	movie
simply	RB	simply
has	VBZ	have
no	DT	no
good	JJ	good
scares	NNS	scare
to	TO	to
offer	VB	offer
It	PP	it
ca	MD	ca
n't	RB	n't
even	RB	even
be	VB	be
enjoyed	VBN	enjoy
as	IN	as
camp	JJ	camp
Bad	JJ	bad
dialogue	NN	dialogue
bad	JJ	bad
acting	VBG	act
bad	JJ	bad
direction	NN	direction
the	DT	the
kills	NNS	kill
were	VBD	be
predictable	JJ	predictable
and	CC	and
poorly	RB	poorly
staged	VBD	stage
the	DT	the
music	NN	music
was	VBD	be
annoying	VBG	annoy
the	DT	the
camera	NN	camera
work	NN	work
was	VBD	be
wretched	JJ	wretched
even	RB	even
the	DT	the
costumes	NNS	costume
were	VBD	be
bad	JJ	bad
I	PP	I
felt	VBD	feel
really	RB	really
bad	JJ	bad
for	IN	for
the	DT	the
actors	NNS	actor
who	WP	who
were	VBD	be
obviously	RB	obviously
trying	VBG	try
but	CC	but
who	WP	who
had	VBD	have
to	TO	to
deal	VB	deal
with	IN	with
terrible	JJ	terrible
contrived	JJ	contrived
dialogue	NN	dialogue
and	CC	and
an	DT	an
obvious	JJ	obvious
lack	NN	lack
of	IN	of
direction	NN	direction
I	PP	I
doubt	VBP	doubt
they	PP	they
got	VBD	get
any	DT	any
rehearsal	NN	rehearsal
either	CC	either
It	PP	it
's	VBZ	be
embarrassing	JJ	embarrassing
to	TO	to
watch	VB	watch
and	CC	and
so	RB	so
boring	JJ	boring
than	IN	than
making	VBG	make
it	PP	it
through	RP	through
to	TO	to
the	DT	the
contrived	JJ	contrived
"	``	"
surprise	NN	surprise
"	''	"
ending	NN	ending
requires	VBZ	require
tremendous	JJ	tremendous
endurance	NN	endurance
It	PP	it
's	VBZ	be
quite	RB	quite
easily	RB	easily
one	CD	one
of	IN	of
the	DT	the
worst	JJS	bad
movies	NNS	movie
I	PP	I
've	VBP	have
ever	RB	ever
seen	VBN	see
I	PP	I
do	VBP	do
n't	RB	n't
normally	RB	normally
write	VB	write
reviews	NNS	review
but	CC	but
this	DT	this
one	CD	one
was	VBD	be
so	RB	so
bad	JJ	bad
that	IN	that
I	PP	I
felt	VBD	feel
compelled	VBN	compel
to	TO	to
warn	VB	warn
others	NNS	other
This	DT	this
movie	NN	movie
is	VBZ	be
a	DT	a
complete	JJ	complete
waste	NN	waste
of	IN	of
time	NN	time
If	IN	if
you	PP	you
must	MD	must
watch	VB	watch
this	DT	this
movie	NN	movie
do	VBP	do
n't	RB	n't
miss	VB	miss
the	DT	the
"	``	"
Making	VBG	make
of	IN	of
"	``	"
featurette	NP	<unknown>
The	DT	the
writer	NN	writer
director	NN	director
seems	VBZ	seem
to	TO	to
be	VB	be
under	IN	under
the	DT	the
impression	NN	impression
that	IN	that
making	VBG	make
the	DT	the
killer	NN	killer
a	DT	a
woman	NN	woman
was	VBD	be
kind	NN	kind
of	IN	of
bold	JJ	bold
daring	JJ	daring
move	NN	move
Seen	NP	Seen
it	PP	it
He	PP	he
and	CC	and
the	DT	the
cast	NN	cast
spend	VB	spend
half	PDT	half
an	DT	an
hour	NN	hour
deconstructing	VBG	<unknown>
this	DT	this
film	NN	film
as	RB	as
if	IN	if
it	PP	it
's	VBZ	be
a	DT	a
new	JJ	new
age	NN	age
"	''	"
Citizen	NP	Citizen
Kane	NP	Kane
"	``	"
It	PP	it
's	VBZ	be
like	IN	like
listening	VBG	listen
to	TO	to
a	DT	a
group	NN	group
of	IN	of
third	JJ	third
graders	NNS	grader
take	VBP	take
you	PP	you
behind	IN	behind
the	DT	the
scenes	NNS	scene
of	IN	of
their	PP$	their
Christmas	NP	Christmas
pageant	NN	pageant
They	PP	they
truly	RB	truly
think	VBP	think
they	PP	they
've	VBP	have
created	VBN	create
something	NN	something
of	IN	of
substance	NN	substance
It	PP	it
's	VBZ	be
sad	JJ	sad
really	RB	really
The	DT	the
only	JJ	only
reason	NN	reason
I	PP	I
gave	VBD	give
this	DT	this
movie	NN	movie
a	DT	a
"	``	"
2	CD	2
"	''	"
is	VBZ	be
because	IN	because
I	PP	I
think	VBP	think
"	``	"
1	CD	1
"	''	"
should	MD	should
be	VB	be
reserved	VBN	reserve
for	IN	for
true	JJ	true
atrocities	NNS	atrocity
like	IN	like
"	``	"
Manos	NP	Manos
Hands	NP	Hands
of	IN	of
Fate	NP	Fate
"	''	"
and	CC	and
"	``	"
Space	NP	Space
Mutiny	NP	<unknown>
"	''	"
So	CC	so
"	``	"
American	NP	American
Nightmare	NP	<unknown>
"	''	"
is	VBZ	be
n't	RB	n't
the	DT	the
WORST	NP	<unknown>
movie	NN	movie
I	PP	I
've	VBP	have
ever	RB	ever
seen	VBN	see
but	CC	but
I	PP	I
'd	MD	will
have	VB	have
to	TO	to
say	VB	say
that	IN	that
it	PP	it
's	VBZ	be
somewhere	RB	somewhere
in	IN	in
the	DT	the
bottom	JJ	bottom
fifty	CD	fifty
