Why	WRB	why
bother	VBP	bother
seeing	VBG	see
this	DT	this
movie	NN	movie
if	IN	if
you	PP	you
have	VBP	have
great	JJ	great
movies	NNS	movie
to	TO	to
see	VB	see
It	PP	it
is	VBZ	be
a	DT	a
total	JJ	total
waste	NN	waste
of	IN	of
time	NN	time
and	CC	and
money	NN	money
The	DT	the
movie	NN	movie
is	VBZ	be
so	RB	so
bad	JJ	bad
that	IN	that
I	PP	I
felt	VBD	feel
bad	JJ	bad
for	IN	for
wanting	VBG	want
to	TO	to
watching	VBG	watch
it	PP	it
Everything	NN	Everything
in	IN	in
it	PP	it
is	VBZ	be
BAD	NP	Bad
Actors	NP	<unknown>
were	VBD	be
bad	JJ	bad
Script	NN	script
was	VBD	be
REALLY	RB	really
bad	JJ	bad
The	DT	the
story	NN	story
is	VBZ	be
stupid	JJ	stupid
And	CC	and
the	DT	the
worst	JJS	bad
CGI	NP	<unknown>
EVER	NN	<unknown>
The	DT	the
only	JJ	only
good	JJ	good
moments	NNS	moment
were	VBD	be
the	DT	the
first	JJ	first
60	CD	@card@
seconds	NNS	second
of	IN	of
the	DT	the
movie	NN	movie
in	IN	in
the	DT	the
strip	NN	strip
club	NN	club
One	CD	One
interesting	JJ	interesting
thing	NN	thing
that	IN	that
there	EX	there
is	VBZ	be
a	DT	a
characther	NN	<unknown>
that	IN	that
we	PP	we
wish	VBP	wish
that	IN	that
he	PP	he
dies	VBZ	die
because	IN	because
he	PP	he
is	VBZ	be
so	RB	so
stupid	JJ	stupid
that	IN	that
we	PP	we
get	VBP	get
enough	RB	enough
of	IN	of
him	PP	him
I	PP	I
do	VBP	do
n't	RB	n't
remember	VB	remember
the	DT	the
name	NN	name
but	CC	but
was	VBD	be
the	DT	the
BOYFRIEND	NP	<unknown>
of	IN	of
the	DT	the
"	``	"
Chosen	NP	Chosen
One	NP	One
"	''	"
NOTE	NN	note
If	IN	if
you	PP	you
want	VBP	want
to	TO	to
see	VB	see
a	DT	a
good	JJ	good
movie	NN	movie
this	DT	this
movie	NN	movie
is	VBZ	be
n't	RB	n't
the	DT	the
right	JJ	right
choice	NN	choice
0	CD	0
Stars	NP	Stars
out	IN	out
of	IN	of
10	CD	@card@
