Oh	UH	oh
just	RB	just
what	WP	what
I	PP	I
needed	VBD	need
another	DT	another
movie	NN	movie
about	IN	about
19th	JJ	19th
century	NN	century
England	NP	England
Which	WDT	which
is	VBZ	be
pretty	RB	pretty
much	JJ	much
like	IN	like
regular	JJ	regular
England	NP	England
only	JJ	only
nobody	NN	nobody
's	POS	's
vandalising	VBG	vandalise
football	NN	football
stadiums	NNS	stadium
In	IN	in
this	DT	this
picturesque	JJ	picturesque
setting	NN	setting
of	IN	of
lords	NNS	lord
dames	NNS	dame
and	CC	and
other	JJ	other
randomly	RB	randomly
chosen	VBN	choose
titles	NNS	title
Charlotte	NP	Charlotte
Gainsbourg	NP	<unknown>
walks	VBZ	walk
around	RB	around
aimlessly	RB	aimlessly
as	IN	as
Jane	NP	Jane
Eyre	NP	Eyre
from	IN	from
that	DT	that
novel	NN	novel
nobody	NN	nobody
has	VBZ	have
ever	RB	ever
read	VBN	read
willingly	RB	willingly
Jane	NP	Jane
usually	RB	usually
hangs	VBZ	hang
out	RP	out
in	IN	in
Mr	NP	Mr
Rochester	NP	Rochester
's	POS	's
crib	NN	crib
where	WRB	where
she	PP	she
tries	VBZ	try
to	TO	to
teach	VB	teach
a	DT	a
French	JJ	French
girl	NN	girl
to	TO	to
look	VB	look
at	IN	at
an	DT	an
empty	JJ	empty
chalkboard	NN	chalkboard
all	PDT	all
the	DT	the
time	NN	time
One	CD	One
day	NN	day
Mr	NP	Mr
Rochester	NP	Rochester
William	NP	William
Hurt	NP	Hurt
on	IN	on
auto	NN	auto
pilot	NN	pilot
comes	VBZ	come
back	RB	back
to	TO	to
fall	VB	fall
in	IN	in
love	NN	love
with	IN	with
Jane	NP	Jane
and	CC	and
all	PDT	all
that	DT	that
but	CC	but
there	EX	there
's	VBZ	be
still	RB	still
the	DT	the
matter	NN	matter
of	IN	of
his	PP$	his
fruitcake	NN	fruitcake
wife	NN	wife
that	WDT	that
is	VBZ	be
locked	VBN	lock
in	IN	in
the	DT	the
attic	NN	attic
Oops	NNS	<unknown>
that	WDT	that
was	VBD	be
n't	RB	n't
in	IN	in
the	DT	the
brochure	NN	brochure
After	IN	after
some	DT	some
people	NNS	people
being	VBG	be
thrown	VBN	throw
around	RP	around
and	CC	and
some	DT	some
carefully	RB	carefully
spread	VBN	spread
fire	NN	fire
they	PP	they
probably	RB	probably
rented	VBD	rent
the	DT	the
set	NN	set
the	DT	the
movie	NN	movie
finally	RB	finally
comes	VBZ	come
to	TO	to
an	DT	an
end	NN	end
Everything	NN	Everything
looked	VBD	look
really	RB	really
authentic	JJ	authentic
that	WDT	that
's	VBZ	be
something	NN	something
I	PP	I
guess	VBP	guess
But	CC	but
then	RB	then
again	RB	again
nah	NN	<unknown>
