There	EX	there
is	VBZ	be
no	RB	no
denying	VBG	deny
that	IN	that
Ealing	NP	Ealing
comedies	NNS	comedy
are	VBP	be
good	JJ	good
but	CC	but
for	IN	for
me	PP	me
this	DT	this
film	NN	film
stands	VBZ	stand
out	RP	out
as	IN	as
one	CD	one
of	IN	of
the	DT	the
best	JJS	good
The	DT	the
basic	JJ	basic
premise	NN	premise
of	IN	of
the	DT	the
film	NN	film
is	VBZ	be
that	IN	that
a	DT	a
small	JJ	small
part	NN	part
of	IN	of
Pimlico	NP	Pimlico
in	IN	in
London	NP	London
is	VBZ	be
discovered	VBN	discover
to	TO	to
be	VB	be
part	NN	part
of	IN	of
Burgundy	NP	Burgundy
not	RB	not
the	DT	the
UK	NP	UK
We	PP	we
then	RB	then
follow	VBP	follow
the	DT	the
lives	NNS	life
of	IN	of
the	DT	the
residents	NNS	resident
in	IN	in
their	PP$	their
battle	NN	battle
to	TO	to
keep	VB	keep
the	DT	the
treasure	NN	treasure
found	VBD	find
after	IN	after
the	DT	the
bomb	NN	bomb
explodes	VBZ	explode
and	CC	and
keep	VB	keep
out	RP	out
the	DT	the
black	JJ	black
market	NN	market
traders	NNS	trader
who	WP	who
soon	RB	soon
realise	VBP	realise
that	IN	that
being	JJ	being
exempt	NN	exempt
from	IN	from
UK	NP	UK
law	NN	law
rationing	VBG	ration
does	VBZ	do
not	RB	not
exist	VB	exist
When	WRB	when
they	PP	they
become	VBP	become
prisoners	NNS	prisoner
in	IN	in
their	PP$	their
own	JJ	own
street	NN	street
because	IN	because
the	DT	the
government	NN	government
has	VBZ	have
decided	VBN	decide
to	TO	to
close	VB	close
the	DT	the
boarder	NN	boarder
we	PP	we
see	VBP	see
them	PP	them
fight	VB	fight
back	RB	back
against	IN	against
the	DT	the
system	NN	system
They	PP	they
are	VBP	be
forced	VBN	force
to	TO	to
ration	VB	ration
water	NN	water
and	CC	and
food	NN	food
in	IN	in
their	PP$	their
stand	NN	stand
for	IN	for
what	WP	what
is	VBZ	be
right	JJ	right
In	IN	in
fact	NN	fact
becoming	VBG	become
worse	RBR	worse
off	RB	off
than	IN	than
they	PP	they
were	VBD	be
before	IN	before
it	PP	it
all	RB	all
started	VBD	start
that	WDT	that
's	VBZ	be
where	WRB	where
the	DT	the
moral	NN	moral
comes	VBZ	come
in	IN	in
It	PP	it
's	VBZ	be
when	WRB	when
they	PP	they
loose	RB	loose
all	PDT	all
the	DT	the
food	NN	food
that	IN	that
they	PP	they
think	VBP	think
they	PP	they
are	VBP	be
beaten	VBN	beat
and	CC	and
call	VBP	call
for	IN	for
a	DT	a
surrender	NN	surrender
only	RB	only
to	TO	to
have	VB	have
the	DT	the
whole	NN	whole
of	IN	of
London	NP	London
respond	VB	respond
to	TO	to
their	PP$	their
plight	NN	plight
by	IN	by
sending	VBG	send
food	NN	food
lot	NN	lot
's	VBZ	be
of	IN	of
it	PP	it
Thus	RB	thus
enabling	VBG	enable
them	PP	them
to	TO	to
continue	VB	continue
their	PP$	their
struggle	NN	struggle
This	DT	this
film	NN	film
hit	NN	hit
's	VBZ	be
the	DT	the
right	JJ	right
note	NN	note
throughout	IN	throughout
the	DT	the
acting	NN	acting
is	VBZ	be
superb	JJ	superb
with	IN	with
Stanley	NP	Stanley
Holloway	NP	Holloway
Margaret	NP	Margaret
Rutherford	NP	Rutherford
Hermione	NP	Hermione
Baddeley	NP	Baddeley
and	CC	and
Betty	NP	Betty
Warren	NP	Warren
standing	VBG	stand
out	IN	out
It	PP	it
's	VBZ	be
pitched	VBN	pitch
just	RB	just
right	RB	right
not	RB	not
too	RB	too
sentimental	JJ	sentimental
and	CC	and
the	DT	the
moral	JJ	moral
of	IN	of
the	DT	the
story	NN	story
not	RB	not
forced	VBD	force
down	RP	down
your	PP$	your
throat	NN	throat
Well	RB	well
worth	JJ	worth
a	DT	a
viewing	NN	viewing
