When	WRB	when
this	DT	this
first	JJ	first
came	VBD	come
out	RP	out
6	CD	6
months	NNS	month
after	IN	after
the	DT	the
tragedy	NN	tragedy
I	PP	I
did	VBD	do
n't	RB	n't
want	VB	want
to	TO	to
see	VB	see
it	PP	it
I	PP	I
did	VBD	do
n't	RB	n't
want	VB	want
to	TO	to
open	VB	open
old	JJ	old
wounds	NNS	wound
I	PP	I
regretted	VBD	regret
it	PP	it
Now	RB	now
I	PP	I
have	VBP	have
seen	VBN	see
the	DT	the
movie	NN	movie
Thank	VB	thank
God	NP	God
I	PP	I
did	VBD	do
It	PP	it
shows	VBZ	show
you	PP	you
the	DT	the
bravery	NN	bravery
of	IN	of
all	PDT	all
the	DT	the
FDNY	NP	<unknown>
and	CC	and
NYPD	NP	<unknown>
I	PP	I
salute	VBP	salute
you	PP	you
It	PP	it
offered	VBD	offer
me	PP	me
closure	VBP	closure
I	PP	I
can	MD	can
now	RB	now
move	VB	move
on	IN	on
with	IN	with
my	PP$	my
life	NN	life
