When	WRB	when
The	DT	the
Matrix	NP	<unknown>
appeared	VBD	appear
in	IN	in
1999	CD	@card@
and	CC	and
questioned	VBD	question
existence	NN	existence
and	CC	and
identity	NN	identity
it	PP	it
was	VBD	be
expected	VBN	expect
that	IN	that
a	DT	a
lot	NN	lot
of	IN	of
movies	NNS	movie
would	MD	would
use	VB	use
it	PP	it
as	IN	as
inspiration	NN	inspiration
That	DT	that
did	VBD	do
n't	RB	n't
really	RB	really
happen	VB	happen
surprisingly	RB	surprisingly
and	CC	and
it	PP	it
took	VBD	take
till	IN	till
2002	CD	@card@
for	IN	for
a	DT	a
movie	NN	movie
of	IN	of
similar	JJ	similar
theme	NN	theme
to	TO	to
appear	VB	appear
But	CC	but
to	TO	to
say	VB	say
Cypher	NP	Cypher
is	VBZ	be
a	DT	a
clone	NN	clone
would	MD	would
be	VB	be
to	TO	to
its	PP$	its
discredit	NN	discredit
The	DT	the
story	NN	story
is	VBZ	be
of	IN	of
a	DT	a
Morgan	NP	Morgan
Sullivan	NP	Sullivan
who	WP	who
applies	VBZ	apply
for	IN	for
a	DT	a
job	NN	job
with	IN	with
a	DT	a
high	JJ	high
flying	VBG	fly
techno	NN	<unknown>
company	NN	company
called	VBD	call
Digicorp	NP	<unknown>
His	PP$	his
job	NN	job
is	VBZ	be
to	TO	to
be	VB	be
a	DT	a
spy	NN	spy
and	CC	and
gain	NN	gain
information	NN	information
about	IN	about
a	DT	a
rival	JJ	rival
company	NN	company
while	IN	while
under	IN	under
an	DT	an
assumed	JJ	assumed
and	CC	and
false	JJ	false
identity	NN	identity
His	PP$	his
home	NN	home
life	NN	life
is	VBZ	be
perfectly	RB	perfectly
normal	JJ	normal
but	CC	but
he	PP	he
has	VBZ	have
to	TO	to
lie	VB	lie
to	TO	to
his	PP$	his
wife	NN	wife
about	IN	about
what	WP	what
he	PP	he
's	VBZ	be
actually	RB	actually
doing	VBG	do
However	RB	however
things	NNS	thing
start	VBP	start
to	TO	to
take	VB	take
conspirital	JJ	<unknown>
turns	NNS	turn
and	CC	and
before	IN	before
he	PP	he
knows	VBZ	know
what	WP	what
's	VBZ	be
going	VBG	go
on	IN	on
he	PP	he
starts	VBZ	start
to	TO	to
question	VB	question
who	WP	who
he	PP	he
actually	RB	actually
is	VBZ	be
This	DT	this
is	VBZ	be
not	RB	not
helped	VBN	help
by	IN	by
a	DT	a
strange	JJ	strange
woman	NN	woman
who	WP	who
turns	VBZ	turn
up	RP	up
Twists	NNS	twist
and	CC	and
turns	VBZ	turn
at	IN	at
every	DT	every
direction	NN	direction
keep	VB	keep
you	PP	you
absolutely	RB	absolutely
fascinated	VBD	fascinate
and	CC	and
at	IN	at
no	DT	no
point	NN	point
does	VBZ	do
anything	NN	anything
ever	RB	ever
seem	VBP	seem
contrived	JJ	contrived
or	CC	or
unbelievable	JJ	unbelievable
It	PP	it
's	VBZ	be
an	DT	an
enthralling	VBG	enthrall
journey	NN	journey
through	IN	through
a	DT	a
not	RB	not
too	RB	too
distant	JJ	distant
future	NN	future
and	CC	and
with	IN	with
good	JJ	good
acting	VBG	act
all	DT	all
round	NN	round
will	MD	will
keep	VB	keep
you	PP	you
on	IN	on
the	DT	the
edge	NN	edge
of	IN	of
your	PP$	your
seat	NN	seat
Highly	NP	<unknown>
recommended	VBD	recommend
