What	WP	What
a	DT	a
pathetic	JJ	pathetic
movie	NN	movie
I	PP	I
wo	MD	wo
n't	RB	n't
waste	VB	waste
much	JJ	much
time	NN	time
commenting	VBG	comment
about	IN	about
it	PP	it
I	PP	I
'm	VBP	be
still	RB	still
trying	VBG	try
to	TO	to
get	VB	get
back	RB	back
the	DT	the
couple	NN	couple
hours	NNS	hour
I	PP	I
wasted	VBD	waste
on	IN	on
it	PP	it
Let	VB	let
me	PP	me
leave	VB	leave
it	PP	it
simply	RB	simply
with	IN	with
Shaq	NP	<unknown>
has	VBZ	have
NO	DT	no
BUSINESS	NN	business
being	VBG	be
an	DT	an
actor	NN	actor
or	CC	or
singer	NN	singer
He	PP	he
is	VBZ	be
utterly	RB	utterly
without	IN	without
talent	NN	talent
at	IN	at
both	DT	both
discplines	NNS	<unknown>
It	PP	it
's	VBZ	be
a	DT	a
crying	JJ	crying
shame	NN	shame
that	IN	that
substantially	RB	substantially
more	JJR	more
talented	JJ	talented
people	NNS	people
waste	NN	waste
away	RB	away
in	IN	in
community	NN	community
theatres	NNS	theatre
and	CC	and
karaoke	NN	karaoke
bars	NNS	bar
while	IN	while
Shaq	NP	<unknown>
uses	VBZ	use
his	PP$	his
name	NN	name
as	IN	as
a	DT	a
basketball	NN	basketball
player	NN	player
to	TO	to
undeservedly	RB	undeservedly
get	VB	get
cast	NN	cast
in	IN	in
movies	NNS	movie
and	CC	and
cut	NN	cut
CDs	NNS	CD
Much	JJ	much
of	IN	of
the	DT	the
failure	NN	failure
of	IN	of
this	DT	this
movie	NN	movie
was	VBD	be
the	DT	the
pathetic	JJ	pathetic
no	DT	no
talent	NN	talent
that	WDT	that
is	VBZ	be
Shaq	NP	<unknown>
