What	WP	What
was	VBD	be
an	DT	an
exciting	JJ	exciting
and	CC	and
fairly	RB	fairly
original	JJ	original
series	NN	series
by	IN	by
Fox	NP	Fox
has	VBZ	have
degraded	VBN	degrade
down	RP	down
to	TO	to
meandering	VBG	meander
tripe	NN	tripe
During	IN	during
the	DT	the
first	JJ	first
season	NN	season
Dark	NP	Dark
Angel	NP	Angel
was	VBD	be
on	IN	on
my	PP$	my
weekly	JJ	weekly
"	``	"
must	MD	must
see	VB	see
"	``	"
list	NN	list
and	CC	and
not	RB	not
just	RB	just
because	IN	because
of	IN	of
Jessica	NP	Jessica
Alba	NP	Alba
Unfortunately	RB	unfortunately
the	DT	the
powers	NNS	power
that	RB	that
be	VB	be
over	IN	over
at	IN	at
Fox	NP	Fox
decided	VBD	decide
that	IN	that
they	PP	they
needed	VBD	need
to	TO	to
"	``	"
fine	JJ	fine
tune	NN	tune
"	''	"
the	DT	the
plotline	NN	<unknown>
Within	IN	within
3	CD	3
episodes	NNS	episode
of	IN	of
the	DT	the
season	NN	season
opener	NN	opener
they	PP	they
had	VBD	have
totally	RB	totally
lost	VBN	lose
me	PP	me
as	IN	as
a	DT	a
viewer	NN	viewer
not	RB	not
even	RB	even
to	TO	to
see	VB	see
Jessica	NP	Jessica
Alba	NP	Alba
I	PP	I
found	VBD	find
the	DT	the
new	JJ	new
characters	NNS	character
that	WDT	that
were	VBD	be
added	VBN	add
in	IN	in
the	DT	the
second	JJ	second
season	NN	season
to	TO	to
be	VB	be
too	RB	too
ridiculous	JJ	ridiculous
and	CC	and
amateurish	JJ	amateurish
The	DT	the
new	JJ	new
plotlines	NNS	<unknown>
were	VBD	be
stretching	VBG	stretch
the	DT	the
continuity	NN	continuity
and	CC	and
credibility	NN	credibility
of	IN	of
the	DT	the
show	NN	show
too	RB	too
thin	JJ	thin
On	IN	on
one	CD	one
of	IN	of
the	DT	the
second	JJ	second
season	NN	season
episodes	NNS	episode
they	PP	they
even	RB	even
had	VBD	have
Max	NP	Max
sleeping	VBG	sleep
and	CC	and
dreaming	VBG	dream
where	WRB	where
the	DT	the
first	JJ	first
season	NN	season
stated	VBD	state
she	PP	she
biologically	RB	biologically
could	MD	could
n't	RB	n't
sleep	VB	sleep
The	DT	the
moral	JJ	moral
of	IN	of
the	DT	the
story	NN	story
the	DT	the
one	CD	one
that	IN	that
Hollywood	NP	Hollywood
never	RB	never
gets	VBZ	get
If	IN	if
it	PP	it
works	VBZ	work
do	VBP	do
n't	RB	n't
screw	VB	screw
with	IN	with
it	PP	it
azjazz	VBZ	<unknown>
