There	EX	there
are	VBP	be
so	RB	so
many	JJ	many
incorrect	JJ	incorrect
statements	NNS	statement
in	IN	in
this	DT	this
so	RB	so
called	VBN	call
"	``	"
documentary	JJ	documentary
"	''	"
that	IN	that
I	PP	I
found	VBD	find
myself	PP	myself
shouting	VBG	shout
at	IN	at
the	DT	the
television	NN	television
Bart	NP	Bart
Sibrel	NP	Sibrel
might	MD	might
be	VB	be
able	JJ	able
to	TO	to
produce	VB	produce
a	DT	a
flashy	JJ	flashy
looking	VBG	look
DVD	NN	<unknown>
but	CC	but
he	PP	he
is	VBZ	be
sadly	RB	sadly
lacking	VBG	lack
at	IN	at
looking	VBG	look
at	IN	at
the	DT	the
science	NN	science
behind	IN	behind
his	PP$	his
claims	NNS	claim
He	PP	he
relies	VBZ	rely
on	IN	on
either	RB	either
being	VBG	be
inaccurate	JJ	inaccurate
not	RB	not
telling	VBG	tell
the	DT	the
full	JJ	full
story	NN	story
or	CC	or
the	DT	the
old	JJ	old
favourite	NN	favourite
"	''	"
government	NN	government
always	RB	always
lies	VBZ	lie
to	TO	to
us	PP	us
"	''	"
innuendos	NNS	innuendo
and	CC	and
people	NNS	people
believing	VBG	believe
what	WP	what
is	VBZ	be
told	VBN	tell
to	TO	to
them	PP	them
and	CC	and
not	RB	not
checking	VBG	check
on	IN	on
the	DT	the
accuracy	NN	accuracy
or	CC	or
details	NNS	detail
behind	IN	behind
the	DT	the
claims	NNS	claim
What	WP	What
's	VBZ	be
more	JJR	more
his	PP$	his
"	``	"
exclusive	JJ	exclusive
"	''	"
or	CC	or
"	``	"
unreleased	JJ	unreleased
"	''	"
footage	NN	footage
is	VBZ	be
freely	RB	freely
available	JJ	available
over	IN	over
the	DT	the
internet	NN	Internet
from	IN	from
various	JJ	various
sites	NNS	site
Further	JJR	further
reading	NN	reading
about	IN	about
the	DT	the
circumstances	NNS	circumstance
regarding	VBG	regard
the	DT	the
filming	VBG	film
of	IN	of
this	DT	this
production	NN	production
shows	VBZ	show
that	IN	that
he	PP	he
used	VBD	use
false	JJ	false
pretenses	NNS	pretense
to	TO	to
gain	VB	gain
interviews	NNS	interview
and	CC	and
has	VBZ	have
used	VBN	use
creative	JJ	creative
editing	VBG	edit
of	IN	of
the	DT	the
responses	NNS	response
in	IN	in
order	NN	order
to	TO	to
promote	VB	promote
his	PP$	his
own	JJ	own
opinions	NNS	opinion
All	DT	all
of	IN	of
the	DT	the
claims	NNS	claim
made	VBN	make
by	IN	by
Mr	NP	Mr
Sibrel	NP	Sibrel
about	IN	about
"	``	"
inaccuracies	NNS	inaccuracy
"	''	"
"	``	"
mistakes	NNS	mistake
"	''	"
or	CC	or
"	``	"
whistleblowing	NN	<unknown>
"	''	"
in	IN	in
the	DT	the
Apollo	NP	Apollo
programme	NN	programme
have	VBP	have
been	VBN	be
thoroughly	RB	thoroughly
disproven	JJ	<unknown>
How	WRB	How
do	VBP	do
I	PP	I
get	VBP	get
that	IN	that
40	CD	@card@
odd	JJ	odd
minutes	NNS	minute
of	IN	of
my	PP$	my
life	NN	life
back	RB	back
