What	WP	What
can	MD	can
I	PP	I
say	VB	say
that	WDT	that
has	VBZ	have
n't	RB	n't
been	VBN	be
said	VBN	say
about	IN	about
"	``	"
The	DT	the
Haunting	NP	<unknown>
"	``	"
It	PP	it
has	VBZ	have
everything	NN	everything
that	WDT	that
would	MD	would
make	VB	make
a	DT	a
great	JJ	great
picture	NN	picture
Wonderful	NN	<unknown>
sets	VBZ	set
moody	JJ	moody
music	NN	music
and	CC	and
sound	JJ	sound
design	NN	design
to	TO	to
die	VB	die
for	IN	for
were	VBD	be
all	RB	all
in	IN	in
place	VB	place
The	DT	the
screenplay	NN	screenplay
though	RB	though
sometimes	RB	sometimes
boggles	VBZ	boggle
the	DT	the
mind	NN	mind
in	IN	in
such	PDT	such
a	DT	a
weird	JJ	weird
surrealistic	JJ	surrealistic
way	NN	way
The	DT	the
entire	JJ	entire
team	NN	team
must	MD	must
have	VB	have
forgotten	VBN	forget
to	TO	to
read	VB	read
it	PP	it
through	RP	through
maybe	RB	maybe
because	IN	because
they	PP	they
were	VBD	be
too	RB	too
busy	JJ	busy
creating	VBG	create
cg	NN	<unknown>
effects	NNS	effect
and	CC	and
building	VBG	build
gothic	JJ	Gothic
sets	NNS	set
to	TO	to
notice	VB	notice
how	WRB	how
weak	JJ	weak
the	DT	the
plot	NN	plot
was	VBD	be
Each	DT	each
member	NN	member
of	IN	of
the	DT	the
cast	NN	cast
gives	VBZ	give
a	DT	a
worthy	JJ	worthy
performance	NN	performance
although	IN	although
with	IN	with
little	JJ	little
conviction	NN	conviction
to	TO	to
the	DT	the
material	NN	material
at	IN	at
hand	NN	hand
Lili	NP	Lili
Taylor	NP	Taylor
has	VBZ	have
the	DT	the
most	JJS	most
to	TO	to
do	VB	do
while	IN	while
the	DT	the
others	NNS	other
mostly	RB	mostly
react	VBP	react
to	TO	to
her	PP	her
But	CC	but
that	DT	that
's	VBZ	be
about	IN	about
it	PP	it
All	DT	all
I	NN	I
can	MD	can
say	VB	say
is	VBZ	be
that	IN	that
it	PP	it
was	VBD	be
a	DT	a
slightly	RB	slightly
enjoyable	JJ	enjoyable
two	CD	two
hours	NNS	hour
but	CC	but
you	PP	you
will	MD	will
definitely	RB	definitely
want	VB	want
more	RBR	more
A	DT	a
lot	NN	lot
more	RBR	more
