Oh	UH	oh
my	PP$	my
How	WRB	How
can	MD	can
they	PP	they
make	VB	make
movies	NNS	movie
of	IN	of
such	JJ	such
beauty	NN	beauty
but	CC	but
that	WDT	that
are	VBP	be
so	RB	so
terribly	RB	terribly
bad	JJ	bad
I	PP	I
mean	VBP	mean
even	RB	even
Uwe	NP	Uwe
Boll	NP	Boll
does	VBZ	do
n't	RB	n't
make	VB	make
crap	NN	crap
like	IN	like
this	DT	this
There	RB	there
is	VBZ	be
not	RB	not
even	RB	even
a	DT	a
hint	NN	hint
of	IN	of
a	DT	a
decent	JJ	decent
story	NN	story
multi	NNS	Multi
layered	VBD	layer
characters	NNS	character
or	CC	or
attraction	NN	attraction
It	PP	it
's	VBZ	be
just	RB	just
a	DT	a
random	JJ	random
sequence	NN	sequence
of	IN	of
pointless	JJ	pointless
chatter	NN	chatter
joined	VBD	join
together	RB	together
to	TO	to
make	VB	make
a	DT	a
'	''	'
movie	NN	movie
'	''	'
I	PP	I
suppose	VBP	suppose
only	JJ	only
children	NNS	child
up	RB	up
to	TO	to
3	CD	3
years	NNS	year
of	IN	of
age	NN	age
could	MD	could
enjoy	VB	enjoy
it	PP	it
given	VBN	give
the	DT	the
world	NN	world
is	VBZ	be
so	RB	so
utterly	RB	utterly
dimensionless	JJ	dimensionless
and	CC	and
the	DT	the
story	NN	story
so	RB	so
incoherent	JJ	incoherent
that	DT	that
anyone	NN	anyone
older	JJR	old
would	MD	would
be	VB	be
annoyed	VBN	annoy
by	IN	by
it	PP	it
But	CC	but
then	RB	then
again	RB	again
it	PP	it
's	VBZ	be
far	RB	far
too	RB	too
scary	JJ	scary
for	IN	for
anyone	NN	anyone
under	IN	under
6	CD	6
years	NNS	year
of	IN	of
age	NN	age
that	IN	that
there	EX	there
's	VBZ	be
probably	RB	probably
no	DT	no
one	CD	one
that	WDT	that
should	MD	should
watch	VB	watch
this	DT	this
movie	NN	movie
at	IN	at
all	DT	all
Take	VB	take
my	PP$	my
advice	NN	advice
and	CC	and
stay	VB	stay
far	RB	far
far	RB	far
away	RB	away
from	IN	from
this	DT	this
movie	NN	movie
Your	PP$	your
little	JJ	little
daughter	NN	daughter
can	MD	can
make	VB	make
a	DT	a
better	JJR	good
storyline	NN	storyline
and	CC	and
though	IN	though
she	PP	she
probably	RB	probably
is	VBZ	be
n't	RB	n't
able	JJ	able
to	TO	to
draw	VB	draw
pictures	NNS	picture
this	RB	this
pretty	RB	pretty
her	PP$	her
tales	NNS	tale
are	VBP	be
much	RB	much
more	RBR	more
worth	JJ	worth
listening	NN	listening
to	TO	to
And	CC	and
please	VB	please
in	IN	in
the	DT	the
name	NN	name
of	IN	of
whoever	WP	whoever
you	PP	you
believe	VBP	believe
in	RB	in
do	VBP	do
not	RB	not
expose	VB	expose
your	PP$	your
children	NNS	child
to	TO	to
this	DT	this
piece	NN	piece
of	IN	of
I	PP	I
'll	MD	will
give	VB	give
it	PP	it
2	CD	2
out	IN	out
of	IN	of
10	CD	@card@
and	CC	and
that	WDT	that
's	VBZ	be
exclusively	RB	exclusively
for	IN	for
the	DT	the
graphics	NNS	graphics
because	IN	because
the	DT	the
story	NN	story
and	CC	and
character	NN	character
development	NN	development
are	VBP	be
so	RB	so
awful	JJ	awful
they	PP	they
'd	MD	will
deserve	VB	deserve
a	DT	a
negative	JJ	negative
rating	NN	rating
And	CC	and
if	IN	if
you	PP	you
decide	VBP	decide
to	TO	to
watch	VB	watch
it	PP	it
anyways	RB	anyways
remember	VBP	remember
that	IN	that
I	PP	I
warned	VBD	warn
you	PP	you
