There	EX	there
's	VBZ	be
only	RB	only
one	CD	one
thing	NN	thing
I	PP	I
need	VBP	need
to	TO	to
say	VB	say
about	IN	about
this	DT	this
movie	NN	movie
the	DT	the
scene	NN	scene
where	WRB	where
Shaq	NP	<unknown>
is	VBZ	be
in	IN	in
a	DT	a
musical	JJ	musical
number	NN	number
with	IN	with
Francis	NP	Francis
Capra	NP	Capra
's	POS	's
character	NN	character
about	IN	about
wanting	VBG	want
to	TO	to
be	VB	be
a	DT	a
genie	NN	genie
never	RB	never
see	VBP	see
this	DT	this
movie	NN	movie
The	DT	the
story	NN	story
is	VBZ	be
horrible	JJ	horrible
the	DT	the
acting	NN	acting
is	VBZ	be
terrible	JJ	terrible
c'mon	NN	<unknown>
it	PP	it
's	VBZ	be
Shaq	NP	<unknown>
and	CC	and
I	PP	I
'd	MD	will
rather	RB	rather
see	VB	see
Capra	NP	Capra
in	IN	in
Free	NP	Free
Willy	NP	Willy
equally	RB	equally
horrible	JJ	horrible
twice	RB	twice
before	IN	before
ever	RB	ever
seeing	VBG	see
this	DT	this
movie	NN	movie
