All	PDT	All
the	DT	the
funny	JJ	funny
things	NNS	thing
happening	VBG	happen
in	IN	in
this	DT	this
sitcom	NN	sitcom
is	VBZ	be
based	VBN	base
on	IN	on
the	DT	the
main	JJ	main
character	NN	character
Jim	NP	Jim
being	NN	being
either	CC	either
a	DT	a
bad	JJ	bad
father	NN	father
a	DT	a
bad	JJ	bad
husband	NN	husband
or	CC	or
generally	RB	generally
just	RB	just
enormously	RB	enormously
selfish	JJ	selfish
How	WRB	How
can	MD	can
that	RB	that
be	VB	be
funny	JJ	funny
Of	IN	of
course	NN	course
a	DT	a
character	NN	character
in	IN	in
a	DT	a
sitcom	NN	sitcom
has	VBZ	have
to	TO	to
be	VB	be
flawed	VBN	flaw
but	CC	but
Jim	NP	Jim
's	POS	's
character	NN	character
is	VBZ	be
flawed	VBN	flaw
in	IN	in
an	DT	an
extremely	RB	extremely
unsympathetic	JJ	unsympathetic
manner	NN	manner
And	CC	and
why	WRB	why
it	PP	it
that	IN	that
My	PP$	my
guess	NN	guess
is	VBZ	be
that	IN	that
it	PP	it
's	VBZ	be
because	IN	because
"	``	"
he	PP	he
should	MD	should
now	RB	now
better	RBR	well
"	``	"
Jim	NP	Jim
's	VBZ	be
not	RB	not
a	DT	a
stupid	JJ	stupid
guy	NN	guy
he	PP	he
can	MD	can
take	VB	take
care	NN	care
of	IN	of
things	NNS	thing
and	CC	and
he	PP	he
's	VBZ	have
got	VBN	get
the	DT	the
opportunities	NNS	opportunity
to	TO	to
do	VB	do
so	RB	so
But	CC	but
he	PP	he
chooses	VBZ	choose
not	RB	not
to	TO	to
It	PP	it
's	VBZ	be
a	DT	a
conscious	JJ	conscious
choice	NN	choice
he	PP	he
makes	VBZ	make
when	WRB	when
he	PP	he
chooses	VBZ	choose
to	TO	to
not	RB	not
play	VB	play
with	IN	with
his	PP$	his
kids	NNS	kid
not	RB	not
go	VBP	go
shopping	NN	shopping
because	IN	because
he	PP	he
does	VBZ	do
n't	RB	n't
want	VB	want
to	TO	to
buy	VB	buy
"	``	"
lady	NN	lady
products	NNS	product
"	''	"
and	CC	and
it	PP	it
's	VBZ	be
a	DT	a
choice	NN	choice
he	PP	he
makes	VBZ	make
when	WRB	when
he	PP	he
puts	VBZ	put
down	RP	down
his	PP$	his
relatives	NNS	relative
The	DT	the
other	JJ	other
characters	NNS	character
seems	VBZ	seem
to	TO	to
only	RB	only
be	VB	be
in	IN	in
the	DT	the
series	NN	series
so	IN	so
Jim	NP	Jim
can	MD	can
have	VB	have
someone	NN	someone
to	TO	to
be	VB	be
a	DT	a
jerk	NN	jerk
to	TO	to
If	IN	if
the	DT	the
Cheryl	NP	Cheryl
character	NN	character
was	VBD	be
a	DT	a
real	JJ	real
person	NN	person
she	PP	she
would	MD	would
have	VB	have
left	VBN	leave
him	PP	him
years	NNS	year
ago	RB	ago
and	CC	and
not	RB	not
stay	VB	stay
with	IN	with
the	DT	the
deadbeat	NN	deadbeat
for	IN	for
8	CD	8
years	NNS	year
But	CC	but
alas	UH	alas
she	PP	she
's	VBZ	be
just	RB	just
a	DT	a
catalyst	NN	catalyst
for	IN	for
Jim	NP	Jim
's	POS	's
quirky	JJ	quirky
middle	JJ	middle
class	NN	class
extreme	JJ	extreme
selfishness	NN	selfishness
