What	WP	What
were	VBD	be
they	PP	they
thinking	VBG	think
at	IN	at
"	``	"
Cannes	NP	Cannes
"	''	"
One	CD	One
of	IN	of
the	DT	the
most	RBS	most
irritating	VBG	irritate
films	NNS	film
of	IN	of
all	DT	all
time	NN	time
Every	DT	every
detail	NN	detail
of	IN	of
this	DT	this
film	NN	film
no	DT	no
matter	NN	matter
how	WRB	how
meaningless	JJ	meaningless
was	VBD	be
shown	VBN	show
If	IN	if
I	PP	I
had	VBD	have
to	TO	to
watch	VB	watch
her	PP$	her
put	NN	put
on	IN	on
those	DT	those
boots	VBZ	boot
one	CD	one
more	JJR	more
time	NN	time
I	PP	I
think	VBP	think
I	PP	I
would	MD	would
have	VB	have
shouted	VBN	shout
If	IN	if
the	DT	the
point	NN	point
of	IN	of
this	DT	this
film	NN	film
was	VBD	be
to	TO	to
show	VB	show
how	WRB	how
pathetic	JJ	pathetic
a	DT	a
life	NN	life
Rosetta	NP	Rosetta
had	VBD	have
then	RB	then
it	PP	it
was	VBD	be
covered	VBN	cover
within	IN	within
the	DT	the
first	JJ	first
fifteen	CD	fifteen
minutes	NNS	minute
of	IN	of
the	DT	the
movie	NN	movie
and	CC	and
then	RB	then
the	DT	the
credits	NNS	credit
should	MD	should
have	VB	have
been	VBN	be
running	VBG	run
But	CC	but
no	RB	no
we	PP	we
had	VBD	have
to	TO	to
see	VB	see
countless	JJ	countless
redundant	JJ	redundant
scenes	NNS	scene
over	IN	over
and	CC	and
over	IN	over
The	DT	the
whole	JJ	whole
thing	NN	thing
was	VBD	be
filled	VBN	fill
with	IN	with
un	NNS	<unknown>
likeable	JJ	likeable
and	CC	and
unsympathetic	JJ	unsympathetic
characters	NNS	character
They	PP	they
deserved	VBD	deserve
the	DT	the
misery	NN	misery
that	WDT	that
was	VBD	be
Rosetta	NP	Rosetta
And	CC	and
to	TO	to
think	VB	think
I	PP	I
passed	VBD	pass
up	RP	up
"	``	"
Tumbleweeds	NNS	tumbleweed
"	''	"
to	TO	to
see	VB	see
this	DT	this
over	IN	over
hyped	NN	hyped
film	NN	film
of	IN	of
boredom	NN	boredom
It	PP	it
was	VBD	be
like	IN	like
watching	VBG	watch
grass	NN	grass
grow	VB	grow
only	RB	only
that	WDT	that
is	VBZ	be
more	RBR	more
exciting	JJ	exciting
