What	WP	What
a	DT	a
stinkeroo	NN	<unknown>
this	DT	this
turned	VBN	turn
out	RP	out
to	TO	to
be	VB	be
At	IN	at
one	CD	one
time	NN	time
much	RB	much
earlier	RBR	earlier
in	IN	in
her	PP$	her
career	NN	career
Linda	NP	Linda
Darnell	NP	Darnell
was	VBD	be
one	CD	one
of	IN	of
my	PP$	my
favorites	NNS	favorite
no	RB	no
great	RB	great
shakes	VBZ	shake
as	IN	as
an	DT	an
Actress	NN	actress
but	CC	but
very	RB	very
beautiful	JJ	beautiful
and	CC	and
pleasant	JJ	pleasant
particularly	RB	particularly
in	IN	in
films	NNS	film
like	IN	like
"	``	"
The	DT	the
Mark	NP	Mark
of	IN	of
Zorro	NP	<unknown>
"	''	"
and	CC	and
"	``	"
Blood	NP	Blood
and	CC	and
Sand	NP	Sand
"	''	"
but	CC	but
when	WRB	when
I	PP	I
saw	VBD	see
this	DT	this
monstrosity	NN	monstrosity
the	DT	the
memories	NNS	memory
of	IN	of
her	PP$	her
golden	JJ	golden
days	NNS	day
faded	VBD	fade
quickly	RB	quickly
The	DT	the
story	NN	story
is	VBZ	be
unbelievable	JJ	unbelievable
and	CC	and
farcical	JJ	farcical
the	DT	the
acting	JJ	acting
second	JJ	second
rate	NN	rate
the	DT	the
supporting	VBG	support
cast	VBN	cast
insufferable	JJ	insufferable
I	PP	I
cannot	MD	can
think	VB	think
of	IN	of
a	DT	a
more	RBR	more
immature	JJ	immature
performance	NN	performance
by	IN	by
anyone	NN	anyone
when	WRB	when
compared	VBN	compare
to	TO	to
Tab	NP	Tab
Hunter	NP	Hunter
and	CC	and
Donald	NP	Donald
Gray	NP	Gray
had	VBD	have
to	TO	to
be	VB	be
the	DT	the
most	RBS	most
boring	JJ	boring
leading	VBG	lead
man	NN	man
they	PP	they
could	MD	could
have	VB	have
picked	VBN	pick
Added	NP	Added
to	TO	to
this	DT	this
was	VBD	be
the	DT	the
terrible	JJ	terrible
photography	NN	photography
and	CC	and
I	PP	I
am	VBP	be
not	RB	not
just	RB	just
referring	VBG	refer
to	TO	to
the	DT	the
color	NN	color
Everyone	NN	Everyone
associated	VBN	associate
with	IN	with
this	DT	this
must	MD	must
have	VB	have
shuddered	VBN	shudder
whenever	WRB	whenever
it	PP	it
was	VBD	be
shown	VBN	show
