Yes	UH	yes
Be	VB	be
My	PP$	my
Love	NN	love
was	VBD	be
Mario	NP	Mario
Lanza	NP	Lanza
's	POS	's
skyrocket	NN	skyrocket
to	TO	to
fame	NN	fame
and	CC	and
still	RB	still
is	VBZ	be
popular	JJ	popular
today	NN	today
His	PP$	his
voice	NN	voice
was	VBD	be
strong	JJ	strong
and	CC	and
steady	RB	steady
so	RB	so
powerful	JJ	powerful
in	IN	in
fact	NN	fact
that	IN	that
MGM	NP	MGM
decided	VBD	decide
to	TO	to
use	VB	use
him	PP	him
in	IN	in
The	DT	the
Great	NP	Great
Caruso	NP	Caruso
Lanza	NP	Lanza
himself	PP	himself
thought	VBD	think
he	PP	he
was	VBD	be
the	DT	the
reincarnation	NN	reincarnation
of	IN	of
Caruso	NP	Caruso
Having	VBG	have
read	VBN	read
the	DT	the
book	NN	book
by	IN	by
Kostelanitz	NP	<unknown>
who	WP	who
wrote	VBD	write
a	DT	a
biography	NN	biography
of	IN	of
Lanza	NP	Lanza
he	PP	he
explains	VBZ	explain
that	IN	that
the	DT	the
constant	JJ	constant
practise	VB	practise
and	CC	and
vocal	JJ	vocal
lessons	NNS	lesson
became	VBD	become
the	DT	the
visionary	JJ	visionary
Caruso	NP	Caruso
to	TO	to
Lanza	NP	Lanza
There	EX	there
is	VBZ	be
no	DT	no
doubt	NN	doubt
that	IN	that
Lanza	NP	Lanza
did	VBD	do
a	DT	a
superb	JJ	superb
job	NN	job
in	IN	in
the	DT	the
story	NN	story
but	CC	but
the	DT	the
story	NN	story
is	VBZ	be
not	RB	not
entirely	RB	entirely
true	JJ	true
blame	VBP	blame
it	PP	it
on	IN	on
Hollywood	NP	Hollywood
I	PP	I
used	VBD	use
to	TO	to
practise	VB	practise
singing	VBG	sing
his	PP$	his
songs	NNS	song
years	NNS	year
ago	RB	ago
and	CC	and
became	VBD	become
pretty	RB	pretty
good	JJ	good
myself	PP	myself
until	IN	until
I	PP	I
lost	VBD	lose
my	PP$	my
voice	NN	voice
because	IN	because
of	IN	of
emphysema	NN	emphysema
asthma	NN	asthma
ten	CD	ten
years	NNS	year
ago	RB	ago
Reaching	VBG	reach
the	DT	the
high	JJ	high
note	NN	note
of	IN	of
Be	NP	Be
My	NP	My
Love	NP	Love
is	VBZ	be
not	RB	not
easy	JJ	easy
but	CC	but
beautiful	JJ	beautiful
