What	WP	What
's	VBZ	be
inexplicable	JJ	inexplicable
Firstly	RB	firstly
the	DT	the
hatred	NN	hatred
towards	IN	towards
this	DT	this
movie	NN	movie
It	PP	it
may	MD	may
not	RB	not
be	VB	be
the	DT	the
greatest	JJS	great
movie	NN	movie
of	IN	of
all	DT	all
time	NN	time
but	CC	but
gimme	VB	gimme
a	DT	a
break	NN	break
it	PP	it
got	VBD	get
11	CD	@card@
oscars	NNS	oscar
for	IN	for
a	DT	a
reason	NN	reason
it	PP	it
made	VBD	make
EIGHTEEN	NP	<unknown>
HUNDRED	NP	<unknown>
MILLION	NP	Million
DOLLARS	NP	<unknown>
for	IN	for
a	DT	a
reason	NN	reason
It	PP	it
's	VBZ	be
a	DT	a
damn	RB	damn
good	JJ	good
movie	NN	movie
Which	WDT	which
brings	VBZ	bring
to	TO	to
the	DT	the
other	JJ	other
inexplicable	JJ	inexplicable
aspect	NN	aspect
of	IN	of
it	PP	it
I	PP	I
have	VBP	have
no	DT	no
idea	NN	idea
whatsoever	RB	whatsoever
why	WRB	why
this	DT	this
movie	NN	movie
left	VBD	leave
such	PDT	such
an	DT	an
impression	NN	impression
on	IN	on
me	PP	me
when	WRB	when
I	PP	I
saw	VBD	see
it	PP	it
in	IN	in
theaters	NNS	theater
I	PP	I
've	VBP	have
rewatched	VBN	<unknown>
it	PP	it
on	IN	on
TV	NN	TV
and	CC	and
video	NN	video
and	CC	and
it	PP	it
had	VBD	have
none	NN	none
of	IN	of
the	DT	the
impact	NN	impact
it	PP	it
had	VBD	have
when	WRB	when
I	PP	I
saw	VBD	see
it	PP	it
on	IN	on
the	DT	the
big	JJ	big
screen	NN	screen
twice	RB	twice
or	CC	or
maybe	RB	maybe
three	CD	three
times	NNS	time
actually	RB	actually
But	CC	but
that	IN	that
might	MD	might
be	VB	be
it	PP	it
the	DT	the
appeal	NN	appeal
of	IN	of
it	PP	it
It	PP	it
's	VBZ	be
a	DT	a
Movie	NN	movie
yes	NN	yes
capital	NN	capital
M	NN	M
there	RB	there
it	PP	it
's	VBZ	be
an	DT	an
Epic	JJ	<unknown>
it	PP	it
's	VBZ	be
a	DT	a
spectacle	NN	spectacle
in	IN	in
the	DT	the
order	NN	order
of	IN	of
Gone	NN	<unknown>
With	IN	with
the	DT	the
Wind	NP	Wind
or	CC	or
Ben	NP	Ben
Hur	NP	Hur
Now	RB	now
Ben	NP	Ben
Hur	NP	Hur
and	CC	and
Gone	NP	<unknown>
With	IN	with
the	DT	the
Wind	NP	Wind
seem	VBP	seem
kinda	RB	kinda
hokey	NN	hokey
to	TO	to
me	PP	me
with	IN	with
the	DT	the
hammy	JJ	hammy
acting	NN	acting
and	CC	and
excessive	JJ	excessive
melodrama	NN	melodrama
Not	RB	not
that	IN	that
Titanic	NP	<unknown>
has	VBZ	have
none	NN	none
of	IN	of
that	IN	that
Well	RB	well
the	DT	the
acting	VBG	act
was	VBD	be
actually	RB	actually
very	RB	very
good	JJ	good
The	DT	the
melodrama	NN	melodrama
was	VBD	be
quite	RB	quite
heavy	JJ	heavy
handed	VBN	hand
at	IN	at
times	NNS	time
But	CC	but
the	DT	the
reason	NN	reason
Titanic	NP	<unknown>
works	VBZ	work
is	VBZ	be
that	IN	that
it	PP	it
's	VBZ	be
such	PDT	such
an	DT	an
emotional	JJ	emotional
ride	NN	ride
I	PP	I
usually	RB	usually
enjoy	VBP	enjoy
movies	NNS	movie
that	WDT	that
stimulate	VBP	stimulate
the	DT	the
mind	NN	mind
or	CC	or
give	VB	give
me	PP	me
a	DT	a
visual	JJ	visual
thrill	NN	thrill
This	DT	this
movie	NN	movie
is	VBZ	be
n't	RB	n't
exactly	RB	exactly
dumb	JJ	dumb
but	CC	but
it	PP	it
's	VBZ	be
not	RB	not
cerebral	JJ	cerebral
at	IN	at
all	PDT	all
The	DT	the
visual	JJ	visual
thrills	NNS	thrill
are	VBP	be
simply	RB	simply
means	NNS	mean
to	TO	to
an	DT	an
end	NN	end
to	TO	to
fuel	VB	fuel
the	DT	the
emotions	NNS	emotion
of	IN	of
the	DT	the
audience	NN	audience
I	PP	I
did	VBD	do
n't	RB	n't
cry	VB	cry
when	WRB	when
Bambi	NP	Bambi
's	POS	's
mom	NN	mom
died	VBD	die
I	PP	I
do	VBP	do
n't	RB	n't
react	VB	react
to	TO	to
tearjerkers	NNS	tearjerker
But	CC	but
this	DT	this
is	VBZ	be
a	DT	a
tearjerker	NN	tearjerker
to	TO	to
the	DT	the
power	NN	power
of	IN	of
ten	CD	ten
million	CD	million
an	DT	an
emotional	JJ	emotional
rollercoaster	NN	rollercoaster
that	IN	that
if	IN	if
it	PP	it
were	VBD	be
a	DT	a
regular	JJ	regular
one	CD	one
would	MD	would
make	VB	make
Buzz	NP	Buzz
Aldrin	NP	<unknown>
scream	NN	scream
like	IN	like
a	DT	a
little	JJ	little
girl	NN	girl
And	CC	and
I	PP	I
'm	VBP	be
sure	JJ	sure
that	IN	that
if	IN	if
you	PP	you
see	VBP	see
it	PP	it
on	IN	on
video	NN	video
and	CC	and
have	VBP	have
decided	VBN	decide
that	IN	that
you	PP	you
hate	VBP	hate
it	PP	it
and	CC	and
have	VB	have
a	DT	a
ready	JJ	ready
supply	NN	supply
of	IN	of
cynicism	NN	cynicism
then	RB	then
you	PP	you
can	MD	can
thoroughly	RB	thoroughly
dislike	VB	dislike
this	DT	this
movie	NN	movie
But	CC	but
if	IN	if
you	PP	you
let	VBP	let
that	DT	that
disbelief	NN	disbelief
suspend	VB	suspend
just	RB	just
a	DT	a
bit	NN	bit
if	IN	if
you	PP	you
give	VBP	give
this	DT	this
epic	NN	epic
melodrama	NN	melodrama
the	DT	the
benefit	NN	benefit
of	IN	of
the	DT	the
doubt	NN	doubt
you	PP	you
'll	MD	will
enjoy	VB	enjoy
it	PP	it
completely	RB	completely
And	CC	and
look	VB	look
at	IN	at
the	DT	the
top	JJ	top
ten	NN	ten
grossing	VBG	gross
films	NNS	film
of	IN	of
all	DT	all
time	NN	time
Is	VBZ	be
a	DT	a
single	JJ	single
one	CD	one
of	IN	of
them	PP	them
bad	RB	bad
Is	VBZ	be
a	DT	a
single	JJ	single
one	CD	one
of	IN	of
them	PP	them
worth	VBP	worth
a	DT	a
score	NN	score
of	IN	of
1	CD	1
out	RB	out
of	IN	of
10	CD	@card@
No	RB	no
not	RB	not
even	RB	even
The	DT	the
Phantom	NP	<unknown>
Menace	NP	<unknown>
And	CC	and
this	DT	this
movie	NN	movie
made	VBD	make
1	CD	1
8	CD	8
BILLION	NP	<unknown>
DOLLARS	NP	<unknown>
worldwide	JJ	worldwide
It	PP	it
ca	MD	ca
n't	RB	n't
be	VB	be
bad	JJ	bad
Not	RB	not
possible	JJ	possible
10	CD	@card@
10	CD	@card@
p	NN	p
s	NNS	<unknown>
how	WRB	how
can	MD	can
anyone	NN	anyone
even	RB	even
consider	VBP	consider
comparing	VBG	compare
this	DT	this
to	TO	to
spiderman	NN	spiderman
spiderman	NN	spiderman
was	VBD	be
a	DT	a
fun	NN	fun
movie	NN	movie
but	CC	but
it	PP	it
was	VBD	be
a	DT	a
total	JJ	total
9	CD	9
11	CD	@card@
kneejerk	NN	<unknown>
that	WDT	that
caused	VBD	cause
it	PP	it
to	TO	to
gross	VB	gross
as	RB	as
much	RB	much
as	IN	as
it	PP	it
did	VBD	do
it	PP	it
simply	RB	simply
was	VBD	be
n't	RB	n't
anything	NN	anything
all	PDT	all
that	DT	that
special	JJ	special
no	DT	no
one	CD	one
will	MD	will
remember	VB	remember
it	PP	it
in	IN	in
50	CD	@card@
years	NNS	year
but	CC	but
i	NNS	i
'm	VBP	be
pretty	RB	pretty
sure	JJ	sure
Titanic	NP	<unknown>
will	MD	will
be	VB	be
remembered	VBN	remember
