There	EX	there
is	VBZ	be
so	RB	so
much	JJ	much
that	WDT	that
is	VBZ	be
wrong	JJ	wrong
with	IN	with
this	DT	this
film	NN	film
but	CC	but
to	TO	to
sum	VB	sum
it	PP	it
up	IN	up
Terrible	NP	Terrible
acting	VBG	act
so	RB	so
bad	JJ	bad
it	PP	it
must	MD	must
have	VB	have
been	VBN	be
on	IN	on
purpose	NN	purpose
poor	JJ	poor
script	NN	script
they	PP	they
may	MD	may
have	VB	have
had	VBN	have
some	DT	some
good	JJ	good
ideas	NNS	idea
but	CC	but
this	DT	this
was	VBD	be
not	RB	not
the	DT	the
best	JJS	good
way	NN	way
to	TO	to
present	VB	present
the	DT	the
story	NN	story
ridiculously	RB	ridiculously
bad	JJ	bad
ending	VBG	end
in	IN	in
some	DT	some
cases	NNS	case
the	DT	the
ending	NN	ending
manages	VBZ	manage
to	TO	to
save	VB	save
the	DT	the
film	NN	film
not	RB	not
in	IN	in
this	DT	this
case	NN	case
if	IN	if
you	PP	you
manage	VBP	manage
to	TO	to
sit	VB	sit
through	IN	through
the	DT	the
entire	JJ	entire
film	NN	film
you	PP	you
will	MD	will
want	VB	want
to	TO	to
kick	VB	kick
yourself	PP	yourself
at	IN	at
the	DT	the
end	NN	end
because	IN	because
the	DT	the
ending	NN	ending
is	VBZ	be
not	RB	not
even	RB	even
worth	JJ	worth
waiting	NN	waiting
for	IN	for
This	DT	this
is	VBZ	be
the	DT	the
worst	JJS	bad
film	NN	film
i	NNS	i
have	VBP	have
seen	VBN	see
in	IN	in
a	DT	a
long	JJ	long
time	NN	time
It	PP	it
was	VBD	be
complete	JJ	complete
torture	NN	torture
sitting	VBG	sit
through	IN	through
this	DT	this
film	NN	film
i	NP	i
would	MD	would
have	VB	have
appreciated	VBN	appreciate
someone	NN	someone
warning	VBG	warn
me	PP	me
in	IN	in
advance	NN	advance
So	RB	so
do	VBP	do
yourself	PP	yourself
a	DT	a
favor	VB	favor
Watch	NP	<unknown>
this	DT	this
film	NN	film
only	RB	only
if	IN	if
you	PP	you
have	VBP	have
absolutely	RB	absolutely
nothing	RB	nothing
better	JJR	good
to	TO	to
do	VB	do
Even	RB	even
then	RB	then
you	PP	you
will	MD	will
regret	VB	regret
having	VBG	have
put	VBN	put
yourself	PP	yourself
through	IN	through
the	DT	the
unspeakable	JJ	unspeakable
torture	NN	torture
