When	WRB	when
the	DT	the
Chamberlain	NP	Chamberlain
family	NN	family
is	VBZ	be
camping	VBG	camp
near	IN	near
Ayers	NP	Ayers
Rock	NP	Rock
Australia	NP	Australia
Lindy	NP	Lindy
Chamberlain	NP	Chamberlain
Meryl	NP	Meryl
Streep	NP	Streep
sees	VBZ	see
her	PP$	her
baby	NN	baby
being	VBG	be
dragged	VBN	drag
out	RP	out
of	IN	of
their	PP$	their
tent	NN	tent
by	IN	by
a	DT	a
dingo	NN	dingo
and	CC	and
then	RB	then
begins	VBZ	begin
an	DT	an
ordeal	NN	ordeal
that	IN	that
no	DT	no
one	CD	one
should	MD	should
have	VB	have
to	TO	to
experience	VB	experience
For	IN	for
it	PP	it
seems	VBZ	seem
like	IN	like
the	DT	the
dingo	NN	dingo
story	NN	story
is	VBZ	be
not	RB	not
believed	VBN	believe
by	IN	by
the	DT	the
public	NN	public
or	CC	or
the	DT	the
press	NN	press
and	CC	and
the	DT	the
whole	JJ	whole
thing	NN	thing
turns	VBZ	turn
into	IN	into
a	DT	a
circus	NN	circus
Lindy	NP	Lindy
does	VBZ	do
n't	RB	n't
help	VB	help
matters	NNS	matter
either	CC	either
because	IN	because
she	PP	she
wo	MD	wo
n't	RB	n't
play	VB	play
to	TO	to
the	DT	the
jury	NN	jury
or	CC	or
courtroom	NN	courtroom
she	PP	she
's	VBZ	be
only	JJ	only
herself	PP	herself
and	CC	and
she	PP	she
's	VBZ	be
a	DT	a
tough	JJ	tough
nut	NN	nut
to	TO	to
crack	VB	crack
so	RB	so
of	IN	of
course	NN	course
everyone	NN	everyone
thinks	VBZ	think
she	PP	she
's	VBZ	be
guilty	JJ	guilty
because	IN	because
there	EX	there
's	VBZ	be
a	DT	a
piece	NN	piece
of	IN	of
evidence	NN	evidence
that	WDT	that
has	VBZ	have
n't	RB	n't
come	VBN	come
to	TO	to
light	VB	light
Sam	NP	Sam
Neill	NP	Neill
is	VBZ	be
excellent	JJ	excellent
as	IN	as
Michael	NP	Michael
Chamberlain	NP	Chamberlain
a	DT	a
Seventh	NP	Seventh
Day	NP	Day
adventist	NN	Adventist
pastor	NN	pastor
who	WP	who
has	VBZ	have
doubts	NNS	doubt
about	IN	about
his	PP$	his
faith	NN	faith
and	CC	and
perhaps	RB	perhaps
about	IN	about
his	PP$	his
wife	NN	wife
It	PP	it
's	VBZ	be
good	JJ	good
or	CC	or
bad	JJ	bad
to	TO	to
see	VB	see
that	IN	that
people	NNS	people
are	VBP	be
just	RB	just
as	RB	as
prejudiced	JJ	prejudiced
and	CC	and
stupid	JJ	stupid
elsewhere	RB	elsewhere
as	IN	as
they	PP	they
are	VBP	be
in	IN	in
the	DT	the
States	NPS	States
too	RB	too
because	IN	because
the	DT	the
Australian	JJ	Australian
public	NN	public
does	VBZ	do
n't	RB	n't
believe	VB	believe
the	DT	the
story	NN	story
and	CC	and
the	DT	the
media	NN	media
only	RB	only
fans	VBZ	fan
the	DT	the
flames	NNS	flame
Eventually	RB	eventually
Lindy	NP	Lindy
is	VBZ	be
found	VBN	find
guilty	JJ	guilty
and	CC	and
sent	VBN	send
to	TO	to
prison	NN	prison
for	IN	for
a	DT	a
life	NN	life
of	IN	of
hard	JJ	hard
labor	NN	labor
but	CC	but
years	NNS	year
later	RBR	later
a	DT	a
missing	JJ	missing
piece	NN	piece
of	IN	of
evidence	NN	evidence
shows	VBZ	show
up	RP	up
and	CC	and
she	PP	she
's	VBZ	be
freed	VBN	free
but	CC	but
not	RB	not
until	IN	until
after	IN	after
the	DT	the
family	NN	family
's	POS	's
life	NN	life
is	VBZ	be
basically	RB	basically
ruined	VBN	ruin
A	DT	a
heart	NN	heart
breaking	VBG	break
story	NN	story
very	RB	very
well	RB	well
done	VBN	do
a	DT	a
bit	NN	bit
long	RB	long
but	CC	but
well	RB	well
worth	NN	worth
seeing	VBG	see
8	CD	8
out	IN	out
of	IN	of
10	CD	@card@
