There	EX	there
was	VBD	be
a	DT	a
genie	NN	genie
played	VBN	play
by	IN	by
Shaq	NP	<unknown>
His	PP$	his
name	NN	name
was	VBD	be
Kazaam	NP	<unknown>
and	CC	and
he	PP	he
was	VBD	be
whack	VB	whack
His	PP$	his
rhymes	NNS	rhyme
were	VBD	be
corny	JJ	corny
this	DT	this
lines	NNS	line
were	VBD	be
bad	JJ	bad
some	DT	some
stupid	JJ	stupid
kid	NN	kid
cryin	NN	<unknown>
over	IN	over
his	PP$	his
stupid	JJ	stupid
dad	NN	dad
bad	JJ	bad
actin	NN	actin
bad	JJ	bad
casting	VBG	cast
bad	JJ	bad
special	JJ	special
effects	NNS	effect
whats	NNS	<unknown>
next	IN	next
this	DT	this
movie	NN	movie
sucks	VBZ	suck
Prolly	NP	<unknown>
did	VBD	do
n't	RB	n't
make	VB	make
20	CD	@card@
bucks	NNS	buck
he	PP	he
lives	VBZ	live
in	IN	in
a	DT	a
boombox	NN	<unknown>
not	RB	not
a	DT	a
lamp	NN	lamp
hurts	VBZ	hurt
like	IN	like
a	DT	a
cramp	NN	cramp
like	IN	like
a	DT	a
wet	JJ	wet
food	NN	food
stamp	VB	stamp
Yeah	UH	Yeah
you	PP	you
get	VBP	get
it	PP	it
a	DT	a
stupid	JJ	stupid
rhyming	VBG	rhyme
genie	NN	genie
who	WP	who
ca	MD	ca
n't	RB	n't
act	VB	act
in	IN	in
a	DT	a
stupid	JJ	stupid
movie	NN	movie
with	IN	with
horrible	JJ	horrible
special	JJ	special
effects	NNS	effect
Oh	NP	Oh
and	CC	and
its	PP$	its
confusing	JJ	confusing
as	IN	as
hell	NN	hell
I	PP	I
'm	VBP	be
not	RB	not
even	RB	even
gonna	VBG	gonna
go	VB	go
on	IN	on
Let	NP	Let
's	POS	's
just	RB	just
say	VBP	say
it	PP	it
belongs	VBZ	belong
in	IN	in
the	DT	the
"	``	"
its	PP$	its
so	RB	so
bad	JJ	bad
its	PP$	its
funny	JJ	funny
"	``	"
category	NN	category
Watch	NN	watch
it	PP	it
once	RB	once
with	IN	with
your	PP$	your
buddies	NNS	buddy
and	CC	and
get	VB	get
a	DT	a
good	JJ	good
laugh	NN	laugh
But	CC	but
do	VBP	do
n't	RB	n't
expect	VB	expect
anything	NN	anything
spectacular	JJ	spectacular
