How	WRB	How
a	DT	a
director	NN	director
of	IN	of
Altman	NP	Altman
's	POS	's
experience	NN	experience
could	MD	could
ever	RB	ever
expect	VB	expect
us	PP	us
to	TO	to
want	VB	want
to	TO	to
spend	VB	spend
time	NN	time
with	IN	with
or	CC	or
to	TO	to
care	VB	care
about	RB	about
what	WP	what
happens	VBZ	happen
to	TO	to
a	DT	a
lead	JJ	lead
character	NN	character
who	WP	who
is	VBZ	be
neurotic	JJ	neurotic
a	DT	a
whiner	NN	whiner
a	DT	a
jerk	NN	jerk
with	IN	with
no	DT	no
redeeming	JJ	redeeming
qualities	NNS	quality
that	WDT	that
is	VBZ	be
the	DT	the
central	JJ	central
puzzle	NN	puzzle
about	IN	about
this	DT	this
profoundly	RB	profoundly
confused	VBN	confuse
piece	NN	piece
of	IN	of
work	NN	work
A	DT	a
monstrous	JJ	monstrous
piece	NN	piece
of	IN	of
trash	NN	trash
In	IN	in
addition	NN	addition
to	TO	to
this	DT	this
crippling	JJ	crippling
flaw	NN	flaw
the	DT	the
plot	NN	plot
line	NN	line
requires	VBZ	require
serious	JJ	serious
concentration	NN	concentration
to	TO	to
follow	VB	follow
The	DT	the
setup	NN	setup
that	IN	that
the	DT	the
Branagh	NP	<unknown>
character	NN	character
walks	VBZ	walk
into	IN	into
is	VBZ	be
so	RB	so
obviously	RB	obviously
a	DT	a
setup	NN	setup
from	IN	from
the	DT	the
start	NN	start
that	IN	that
we	PP	we
are	VBP	be
inclined	VBN	incline
to	TO	to
wonder	VB	wonder
whether	IN	whether
the	DT	the
writer	NN	writer
and	CC	and
director	NN	director
have	VBP	have
totally	RB	totally
lost	VBN	lose
respect	NN	respect
for	IN	for
their	PP$	their
audience	NN	audience
This	DT	this
latter	JJ	latter
issue	NN	issue
is	VBZ	be
at	IN	at
the	DT	the
core	NN	core
of	IN	of
the	DT	the
film	NN	film
it	PP	it
represents	VBZ	represent
directorial	JJ	directorial
self	NN	self
indulgence	NN	indulgence
with	IN	with
profound	JJ	profound
contempt	NN	contempt
for	IN	for
the	DT	the
taste	NN	taste
values	NNS	value
and	CC	and
intelligence	NN	intelligence
of	IN	of
the	DT	the
viewer	NN	viewer
Very	JJ	Very
unusual	JJ	unusual
for	IN	for
Mr	NP	Mr
Altman	NP	Altman
Patrick	NP	Patrick
Watson	NP	Watson
