Hello	UH	Hello
Dave	NP	Dave
Burning	NP	<unknown>
Paradise	NP	Paradise
is	VBZ	be
a	DT	a
film	NN	film
for	IN	for
anyone	NN	anyone
who	WP	who
likes	VBZ	like
Jackie	NP	Jackie
Chan	NP	Chan
and	CC	and
Indiana	NP	Indiana
Jones	NP	Jones
The	DT	the
films	NNS	film
main	JJ	main
protagonist	NN	protagonist
is	VBZ	be
most	RBS	most
definitely	RB	definitely
the	DT	the
bastard	JJ	bastard
son	NN	son
of	IN	of
these	DT	these
two	CD	two
strange	JJ	strange
fathers	NNS	father
As	IN	as
for	IN	for
the	DT	the
other	JJ	other
characters	NNS	character
well	RB	well
they	PP	they
are	VBP	be
familiar	JJ	familiar
transformations	NNS	transformation
of	IN	of
similar	JJ	similar
action	NN	action
film	NN	film
stereotypes	VBZ	stereotype
Where	WRB	where
this	DT	this
film	NN	film
is	VBZ	be
original	JJ	original
is	VBZ	be
in	IN	in
the	DT	the
blending	NN	blending
of	IN	of
the	DT	the
traditional	JJ	traditional
Hong	NP	Hong
Kong	NP	Kong
movie	NN	movie
style	NN	style
with	IN	with
the	DT	the
Hollywood	NP	Hollywood
action	NN	action
adventure	NN	adventure
Sadly	RB	sadly
this	DT	this
has	VBZ	have
not	RB	not
been	VBN	be
true	JJ	true
of	IN	of
the	DT	the
films	NNS	film
he	PP	he
has	VBZ	have
made	VBN	make
in	IN	in
Hollywood	NP	Hollywood
