Why	WRB	why
does	VBZ	do
this	RB	this
have	VB	have
such	PDT	such
a	DT	a
low	JJ	low
rating	NN	rating
I	PP	I
really	RB	really
do	VBP	do
n't	RB	n't
get	VB	get
it	PP	it
Is	VBZ	be
it	PP	it
because	IN	because
of	IN	of
the	DT	the
bad	JJ	bad
acting	VBG	act
The	DT	the
bad	JJ	bad
dialogue	NN	dialogue
Well	RB	well
who	WP	who
cares	VBZ	care
about	IN	about
these	DT	these
things	NNS	thing
in	IN	in
cheesy	JJ	cheesy
low	JJ	low
budget	NN	budget
horror	NN	horror
movies	NNS	movie
Seriously	RB	seriously
the	DT	the
acting	NN	acting
and	CC	and
the	DT	the
dialogue	NN	dialogue
is	VBZ	be
n't	RB	n't
important	JJ	important
in	IN	in
those	DT	those
movies	NNS	movie
People	NNS	people
who	WP	who
hate	VBP	hate
movies	NNS	movie
only	RB	only
because	IN	because
of	IN	of
bad	JJ	bad
acting	JJ	acting
and	CC	and
bad	JJ	bad
dialogue	NN	dialogue
should	MD	should
n't	RB	n't
be	VB	be
allowed	VBN	allow
to	TO	to
rate	VB	rate
cheesy	JJ	cheesy
low	JJ	low
budget	NN	budget
movies	NNS	movie
Those	DT	those
movies	NNS	movie
should	MD	should
n't	RB	n't
be	VB	be
taken	VBN	take
seriously	RB	seriously
Period	NN	period
Anyway	RB	anyway
time	NN	time
to	TO	to
talk	VB	talk
about	IN	about
the	DT	the
movie	NN	movie
right	RB	right
Well	RB	well
I	PP	I
loved	VBD	love
it	PP	it
I	PP	I
bought	VBD	buy
it	PP	it
because	IN	because
I	PP	I
expected	VBD	expect
a	DT	a
gorefest	NN	<unknown>
but	CC	but
it	PP	it
's	VBZ	be
not	RB	not
a	DT	a
gorefest	NN	<unknown>
and	CC	and
the	DT	the
gore	NN	gore
is	VBZ	be
pretty	RB	pretty
bad	JJ	bad
most	JJS	most
of	IN	of
the	DT	the
time	NN	time
it	PP	it
's	VBZ	be
just	RB	just
animal	JJ	animal
guts	NNS	gut
placed	VBN	place
on	IN	on
the	DT	the
body	NN	body
of	IN	of
