There	EX	there
's	VBZ	be
so	RB	so
many	JJ	many
things	NNS	thing
to	TO	to
fall	VB	fall
for	IN	for
in	IN	in
Aro	NP	Aro
Tolbukhin	NP	<unknown>
En	VBZ	<unknown>
la	FW	la
mente	NP	Mente
del	FW	del
asesino	NN	<unknown>
Inside	IN	inside
the	DT	the
killer	NN	killer
's	POS	's
mind	NN	mind
that	IN	that
it	PP	it
's	VBZ	be
very	RB	very
hard	JJ	hard
to	TO	to
talk	VB	talk
about	IN	about
it	PP	it
without	IN	without
giving	VBG	give
any	DT	any
kind	NN	kind
of	IN	of
warning	VBG	warn
Let	NP	Let
's	POS	's
just	RB	just
say	VBP	say
that	IN	that
this	DT	this
movie	NN	movie
is	VBZ	be
like	IN	like
an	DT	an
exercise	NN	exercise
in	IN	in
cinema	NN	cinema
but	CC	but
really	RB	really
really	RB	really
great	RB	great
done	VBN	do
Its	PP$	its
made	VBN	make
with	IN	with
super	JJ	super
8	CD	8
black	JJ	black
and	CC	and
white	JJ	white
shots	NNS	shot
35	CD	@card@
milimeters	NNS	<unknown>
color	JJ	color
interviews	NNS	interview
flashbacks	NNS	flashback
Aro	NP	Aro
Tolbukhin	NP	<unknown>
its	PP$	its
like	IN	like
a	DT	a
movie	NN	movie
made	VBD	make
a	DT	a
documental	NN	<unknown>
or	CC	or
viceversa	NN	<unknown>
which	WDT	which
most	JJS	most
peculiar	JJ	peculiar
aspect	NN	aspect
relays	NNS	relay
on	IN	on
the	DT	the
doubt	NN	doubt
that	WDT	that
leaves	VBZ	leave
you	PP	you
wondering	VBG	wonder
did	VBD	do
he	PP	he
really	RB	really
ever	RB	ever
existed	VBD	exist
The	DT	the
movie	NN	movie
follows	VBZ	follow
the	DT	the
later	JJR	late
life	NN	life
of	IN	of
an	DT	an
hungarian	JJ	Hungarian
sailor	NN	sailor
that	WDT	that
arrived	VBD	arrive
in	IN	in
Guatemala	NP	Guatemala
worked	VBD	work
in	IN	in
a	DT	a
religious	JJ	religious
mission	NN	mission
and	CC	and
then	RB	then
killed	VBD	kill
some	DT	some
people	NNS	people
An	DT	an
act	NN	act
for	IN	for
which	WDT	which
he	PP	he
got	VBD	get
caught	VBN	catch
and	CC	and
death	NN	death
penalty	NN	penalty
sentenced	VBD	sentence
The	DT	the
movie	NN	movie
starts	VBZ	start
because	IN	because
some	DT	some
french	NN	French
documentalists	NNS	<unknown>
got	VBD	get
interested	JJ	interested
in	IN	in
this	DT	this
character	NN	character
so	IN	so
they	PP	they
interview	VBP	interview
him	PP	him
prior	JJ	prior
to	TO	to
his	PP$	his
death	NN	death
Nowadays	RB	nowadays
some	DT	some
more	JJR	more
people	NNS	people
got	VBD	get
involved	VBN	involve
and	CC	and
make	VB	make
a	DT	a
deeper	JJR	deep
research	NN	research
of	IN	of
the	DT	the
character	NN	character
The	DT	the
one	CD	one
we	PP	we
are	VBP	be
witness	NN	witness
of	IN	of
the	DT	the
movie	NN	movie
For	IN	for
the	DT	the
main	JJ	main
part	NN	part
in	IN	in
the	DT	the
history	NN	history
we	PP	we
are	VBP	be
guided	VBN	guide
by	IN	by
a	DT	a
semi	NN	semi
slow	JJ	slow
phase	NN	phase
to	TO	to
go	VB	go
look	NN	look
inside	IN	inside
Aros	NP	<unknown>
mind	NN	mind
mainly	RB	mainly
in	IN	in
order	NN	order
to	TO	to
decode	VB	decode
why	WRB	why
he	PP	he
did	VBD	do
what	WP	what
he	PP	he
has	VBZ	have
done	VBN	do
Nevertheless	RB	nevertheless
the	DT	the
important	JJ	important
thing	NN	thing
is	VBZ	be
that	IN	that
the	DT	the
filmmakers	NP	filmmakers
never	RB	never
gives	VBZ	give
us	PP	us
a	DT	a
sided	VBN	side
point	NN	point
of	IN	of
view	NN	view
they	PP	they
left	VBD	leave
the	DT	the
judging	VBG	judge
for	IN	for
all	DT	all
of	IN	of
us	PP	us
and	CC	and
even	RB	even
as	IN	as
we	PP	we
may	MD	may
understand	VB	understand
his	PP$	his
actions	NNS	action
we	PP	we
clearly	RB	clearly
never	RB	never
justify	VB	justify
them	PP	them
So	IN	so
the	DT	the
first	JJ	first
half	NN	half
is	VBZ	be
based	VBN	base
upon	IN	upon
recollecting	VBG	recollect
information	NN	information
later	RBR	later
things	NNS	thing
turn	VBP	turn
into	IN	into
Aro	NP	Aro
's	POS	's
childhood	NN	childhood
giving	VBG	give
the	DT	the
movie	NN	movie
such	JJ	such
an	DT	an
incredible	JJ	incredible
new	JJ	new
force	NN	force
even	RB	even
tough	JJ	tough
never	RB	never
got	VBN	get
weak	JJ	weak
or	CC	or
boring	JJ	boring
I	PP	I
do	VBP	do
n't	RB	n't
mean	VB	mean
and	CC	and
do	VBP	do
n't	RB	n't
want	VB	want
to	TO	to
spoil	VB	spoil
anything	NN	anything
so	IN	so
the	DT	the
only	JJ	only
thing	NN	thing
left	VBD	leave
to	TO	to
say	VB	say
is	VBZ	be
that	IN	that
if	IN	if
by	IN	by
any	DT	any
chance	NN	chance
you	PP	you
get	VBP	get
this	DT	this
movie	NN	movie
near	IN	near
you	PP	you
believe	VBP	believe
me	PP	me
the	DT	the
trip	NN	trip
to	TO	to
see	VB	see
it	PP	it
is	VBZ	be
more	JJR	more
than	IN	than
worthy	JJ	worthy
