When	WRB	when
I	PP	I
was	VBD	be
very	RB	very
young	JJ	young
on	IN	on
a	DT	a
local	JJ	local
tv	NN	tv
station	NN	station
they	PP	they
would	MD	would
show	VB	show
kung	NP	kung
fu	NP	fu
movies	NNS	movie
of	IN	of
all	DT	all
kinds	NNS	kind
on	IN	on
Saturdays	NNS	Saturday
I	PP	I
saw	VBD	see
lots	NNS	lot
of	IN	of
Kung	NP	Kung
Fu	NP	Fu
movies	NNS	movie
on	IN	on
weekends	NNS	weekend
I	PP	I
remember	VBP	remember
lots	NNS	lot
of	IN	of
them	PP	them
I	PP	I
saw	VBD	see
great	JJ	great
flicks	NNS	flick
like	IN	like
Crippled	NP	<unknown>
Masters	NP	Masters
Blind	NP	Blind
Fist	NP	<unknown>
of	IN	of
Bruce	NP	Bruce
Kung	NP	Kung
Fu	NP	Fu
Zombie	NP	<unknown>
Shaolin	NP	<unknown>
Drunken	NP	<unknown>
Monk	NP	Monk
Rage	NN	rage
of	IN	of
the	DT	the
Master	NP	Master
Tattoe	NP	<unknown>
Dragon	NP	Dragon
and	CC	and
Five	CD	Five
Deadly	JJ	deadly
Venoms	NNS	venom
I	PP	I
remember	VBP	remember
the	DT	the
day	NN	day
clearly	RB	clearly
Me	PP	me
and	CC	and
my	PP$	my
dad	NN	dad
had	VBD	have
just	RB	just
gotten	VBN	get
lunch	NN	lunch
at	IN	at
Burger	NP	Burger
King	NP	King
We	PP	we
were	VBD	be
racing	VBG	race
home	NN	home
to	TO	to
see	VB	see
what	WP	what
movie	NN	movie
it	PP	it
would	MD	would
be	VB	be
this	DT	this
saturday	NN	Saturday
We	PP	we
ran	VBD	run
in	IN	in
the	DT	the
house	NN	house
and	CC	and
jumped	VBD	jump
onto	IN	onto
the	DT	the
couch	NN	couch
turned	VBN	turn
on	IN	on
the	DT	the
set	NN	set
and	CC	and
flicked	VBD	flick
it	PP	it
onto	IN	onto
56	CD	@card@
The	DT	the
usual	JJ	usual
intro	NN	intro
of	IN	of
many	JJ	many
kung	NP	kung
fu	NP	fu
movie	NN	movie
clips	NNS	clip
in	IN	in
the	DT	the
background	NN	background
with	IN	with
the	DT	the
words	NNS	word
Kung	NP	Kung
Fu	NP	Fu
Saturday	NP	Saturday
over	IN	over
it	PP	it
Then	RB	then
under	IN	under
that	DT	that
was	VBD	be
the	DT	the
Title	NN	title
of	IN	of
the	DT	the
film	NN	film
It	PP	it
said	VBD	say
Five	CD	Five
Deadly	NP	<unknown>
Venoms	NP	<unknown>
Then	RB	then
the	DT	the
movie	NN	movie
began	VBD	begin
I	PP	I
bit	NN	bit
into	IN	into
my	PP$	my
burger	NN	burger
amused	VBN	amuse
with	IN	with
the	DT	the
pre	NN	<unknown>
credit	NN	credit
sequence	NN	sequence
I	PP	I
loved	VBD	love
this	DT	this
movie	NN	movie
the	DT	the
minute	NN	minute
it	PP	it
came	VBD	come
on	IN	on
My	PP$	my
favorite	JJ	favorite
character	NN	character
was	VBD	be
the	DT	the
Toad	NP	<unknown>
Venom	NP	<unknown>
The	DT	the
plot	NN	plot
was	VBD	be
hard	JJ	hard
to	TO	to
follow	VB	follow
at	IN	at
that	DT	that
age	NN	age
but	CC	but
that	DT	that
was	VBD	be
n't	RB	n't
what	WP	what
lured	VBD	lure
me	PP	me
it	PP	it
was	VBD	be
the	DT	the
fighting	VBG	fight
The	DT	the
fights	NNS	fight
were	VBD	be
so	RB	so
amazing	JJ	amazing
I	PP	I
moaned	VBD	moan
every	DT	every
time	NN	time
a	DT	a
commercial	NN	commercial
came	VBD	come
on	IN	on
and	CC	and
soon	RB	soon
the	DT	the
2	CD	2
hours	NNS	hour
of	IN	of
the	DT	the
best	JJS	good
movie	NN	movie
i	NNS	i
have	VBP	have
ever	RB	ever
seen	VBN	see
ended	VBN	end
