When	WRB	when
I	PP	I
first	RB	first
read	VBD	read
Armistead	NP	Armistead
Maupins	NP	Maupins
story	NN	story
I	PP	I
was	VBD	be
taken	VBN	take
in	IN	in
by	IN	by
the	DT	the
human	JJ	human
drama	NN	drama
displayed	VBN	display
by	IN	by
Gabriel	NP	Gabriel
No	NP	No
one	CD	one
and	CC	and
those	DT	those
he	PP	he
cares	VBZ	care
about	RB	about
and	CC	and
loves	VBZ	love
That	DT	that
being	NN	being
said	VBD	say
we	PP	we
have	VBP	have
now	RB	now
been	VBN	be
given	VBN	give
the	DT	the
film	NN	film
version	NN	version
of	IN	of
an	DT	an
excellent	JJ	excellent
story	NN	story
and	CC	and
are	VBP	be
expected	VBN	expect
to	TO	to
see	VB	see
past	IN	past
the	DT	the
gloss	NN	gloss
of	IN	of
Hollywood	NP	Hollywood
Writer	NP	Writer
Armistead	NP	Armistead
Maupin	NP	Maupin
and	CC	and
director	NN	director
Patrick	NP	Patrick
Stettner	NP	Stettner
have	VBP	have
truly	RB	truly
succeeded	VBN	succeed
With	IN	with
just	RB	just
the	DT	the
right	JJ	right
amount	NN	amount
of	IN	of
restraint	NN	restraint
Robin	NP	Robin
Williams	NP	Williams
captures	VBZ	capture
the	DT	the
fragile	JJ	fragile
essence	NN	essence
of	IN	of
Gabriel	NP	Gabriel
and	CC	and
lets	VBZ	let
us	PP	us
see	VB	see
his	PP$	his
struggle	NN	struggle
with	IN	with
issues	NNS	issue
of	IN	of
trust	NN	trust
both	CC	both
in	IN	in
his	PP$	his
personnel	JJ	personnel
life	NN	life
Jess	NP	Jess
and	CC	and
the	DT	the
world	NN	world
around	IN	around
him	PP	him
Donna	NP	Donna
As	IN	as
we	PP	we
are	VBP	be
introduced	VBN	introduce
to	TO	to
the	DT	the
players	NNS	player
in	IN	in
this	DT	this
drama	NN	drama
we	PP	we
are	VBP	be
reminded	VBN	remind
that	IN	that
nothing	NN	nothing
is	VBZ	be
ever	RB	ever
as	IN	as
it	PP	it
seems	VBZ	seem
and	CC	and
that	WDT	that
the	DT	the
smallest	JJS	small
event	NN	event
can	MD	can
change	VB	change
our	PP$	our
lives	NNS	life
irrevocably	RB	irrevocably
The	DT	the
request	NN	request
to	TO	to
review	VB	review
a	DT	a
book	NN	book
written	VBN	write
by	IN	by
a	DT	a
young	JJ	young
man	NN	man
turns	VBZ	turn
into	IN	into
a	DT	a
life	NN	life
changing	VBG	change
event	NN	event
that	WDT	that
helps	VBZ	help
Gabriel	NP	Gabriel
find	VB	find
the	DT	the
strength	NN	strength
within	IN	within
himself	PP	himself
to	TO	to
carry	VB	carry
on	RP	on
and	CC	and
move	VBP	move
forward	RB	forward
It	PP	it
's	VBZ	be
to	RB	to
bad	JJ	bad
that	IN	that
most	JJS	most
people	NNS	people
will	MD	will
avoid	VB	avoid
this	DT	this
film	NN	film
I	PP	I
only	RB	only
say	VBP	say
that	IN	that
because	IN	because
the	DT	the
average	JJ	average
American	NP	American
will	MD	will
probably	RB	probably
think	VB	think
"	``	"
Robin	NP	Robin
Williams	NP	Williams
in	IN	in
a	DT	a
serious	JJ	serious
role	NN	role
That	WDT	that
did	VBD	do
n't	RB	n't
work	VB	work
before	IN	before
"	``	"
PLEASE	NP	<unknown>
GIVE	NP	<unknown>
THIS	NP	This
MOVIE	NP	Movie
A	NP	A
CHANCE	NP	Chance
Robin	NP	Robin
Williams	NP	Williams
touches	VBZ	touch
the	DT	the
darkness	NN	darkness
we	PP	we
all	RB	all
must	MD	must
find	VB	find
and	CC	and
go	VB	go
through	RP	through
in	IN	in
ourselves	PP	ourselves
to	TO	to
be	VB	be
better	JJR	good
people	NNS	people
Like	IN	like
his	PP$	his
movie	NN	movie
One	NP	One
Hour	NP	<unknown>
Photo	NP	Photo
he	PP	he
has	VBZ	have
stepped	VBN	step
up	RP	up
as	IN	as
an	DT	an
actor	NN	actor
and	CC	and
made	VBD	make
another	DT	another
quality	NN	quality
piece	NN	piece
of	IN	of
art	NN	art
Oh	NP	Oh
and	CC	and
before	IN	before
I	PP	I
forget	VBP	forget
I	PP	I
believe	VBP	believe
Bobby	NP	Bobby
Cannavale	NP	<unknown>
as	IN	as
Jess	NP	Jess
steals	VBZ	steal
every	DT	every
scene	NN	scene
he	PP	he
is	VBZ	be
in	IN	in
He	PP	he
has	VBZ	have
the	DT	the
1940	CD	@card@
's	VBZ	be
leading	VBG	lead
man	NN	man
looks	NNS	look
and	CC	and
screen	NN	screen
presence	NN	presence
It	PP	it
's	VBZ	be
this	DT	this
hacks	NNS	hack
opinion	NN	opinion
he	PP	he
could	MD	could
carry	VB	carry
his	PP$	his
own	JJ	own
movie	NN	movie
right	RB	right
now	RB	now
S~	NP	<unknown>
