When	WRB	when
I	PP	I
saw	VBD	see
this	DT	this
movie	NN	movie
I	PP	I
was	VBD	be
stunned	VBN	stun
by	IN	by
what	WP	what
a	DT	a
great	JJ	great
movie	NN	movie
it	PP	it
was	VBD	be
This	DT	this
is	VBZ	be
the	DT	the
only	JJ	only
movie	NN	movie
I	PP	I
think	VBP	think
I	PP	I
would	MD	would
ever	RB	ever
give	VB	give
a	DT	a
10	CD	@card@
star	NN	star
rating	NN	rating
I	PP	I
am	VBP	be
sure	RB	sure
this	DT	this
movie	NN	movie
will	MD	will
always	RB	always
be	VB	be
in	IN	in
my	PP$	my
top	JJ	top
5	CD	5
The	DT	the
acting	NN	acting
is	VBZ	be
superb	JJ	superb
Leonardo	NP	Leonardo
DiCaprio	NP	Dicaprio
and	CC	and
Kate	NP	Kate
Winslett	NP	Winslett
are	VBP	be
at	IN	at
their	PP$	their
best	JJS	good
I	PP	I
do	VBP	do
n't	RB	n't
think	VB	think
anyone	NN	anyone
could	MD	could
have	VB	have
a	DT	a
better	JJR	good
job	NN	job
than	IN	than
Kate	NP	Kate
If	IN	if
it	PP	it
is	VBZ	be
a	DT	a
rainy	JJ	rainy
day	NN	day
and	CC	and
you	PP	you
ca	MD	ca
n't	RB	n't
decide	VB	decide
what	WP	what
to	TO	to
rent	VB	rent
well	RB	well
this	DT	this
is	VBZ	be
the	DT	the
one	CD	one
You	PP	you
will	MD	will
love	VB	love
all	PDT	all
the	DT	the
acting	JJ	acting
special	JJ	special
effects	NNS	effect
and	CC	and
much	RB	much
much	RB	much
more	JJR	more
If	IN	if
you	PP	you
have	VBP	have
not	RB	not
seen	VBN	see
this	DT	this
movie	NN	movie
go	VB	go
rent	NN	rent
or	CC	or
buy	VB	buy
it	PP	it
now	RB	now
You	PP	you
wo	MD	wo
n't	RB	n't
regret	VB	regret
it	PP	it
