Yes	UH	yes
I	PP	I
'm	VBP	be
going	VBG	go
with	IN	with
the	DT	the
1	CD	1
0	CD	0
on	IN	on
this	DT	this
and	CC	and
here	RB	here
's	VBZ	be
why	WRB	why
In	IN	in
the	DT	the
last	JJ	last
few	JJ	few
years	NNS	year
I	PP	I
have	VBP	have
watched	VBN	watch
quite	PDT	quite
a	DT	a
few	JJ	few
comedies	NNS	comedy
and	CC	and
only	RB	only
left	VBN	leave
with	IN	with
a	DT	a
few	JJ	few
mild	JJ	mild
laughs	NNS	laugh
and	CC	and
a	DT	a
couple	NN	couple
video	NN	video
rental	JJ	rental
late	JJ	late
fees	NNS	fee
because	IN	because
the	DT	the
movies	NNS	movie
were	VBD	be
that	RB	that
easy	JJ	easy
to	TO	to
forget	VB	forget
Then	RB	then
I	PP	I
stumble	VBP	stumble
upon	IN	upon
"	``	"
Nothing	NN	nothing
"	''	"
Looked	JJ	<unknown>
interesting	JJ	interesting
was	VBD	be
n't	RB	n't
expecting	VBG	expect
much	RB	much
though	IN	though
I	PP	I
was	VBD	be
wrong	RB	wrong
This	DT	this
was	VBD	be
probably	RB	probably
one	CD	one
of	IN	of
the	DT	the
funniest	JJS	funny
movies	NNS	movie
I	PP	I
have	VBP	have
ever	RB	ever
had	VBN	have
the	DT	the
chance	NN	chance
to	TO	to
watch	VB	watch
Dave	NP	Dave
and	CC	and
Andrew	NP	Andrew
make	VBP	make
a	DT	a
great	JJ	great
comedic	JJ	comedic
pair	NN	pair
and	CC	and
the	DT	the
humor	NN	humor
was	VBD	be
catchy	JJ	catchy
enough	RB	enough
to	TO	to
remember	VB	remember
but	CC	but
not	RB	not
over	RB	over
complex	JJ	complex
to	TO	to
the	DT	the
point	NN	point
of	IN	of
missing	VBG	miss
the	DT	the
joke	NN	joke
I	PP	I
do	VBP	do
n't	RB	n't
want	VB	want
to	TO	to
remark	VB	remark
on	IN	on
any	DT	any
of	IN	of
the	DT	the
actual	JJ	actual
scenes	NNS	scene
because	IN	because
I	PP	I
do	VBP	do
feel	VB	feel
this	DT	this
is	VBZ	be
a	DT	a
movie	NN	movie
worth	NN	worth
seeing	VBG	see
for	IN	for
once	RB	once
With	IN	with
more	JJR	more
and	CC	and
more	JJR	more
pointless	JJ	pointless
concepts	NNS	concept
coming	VBG	come
into	IN	into
movies	NNS	movie
you	PP	you
know	VBP	know
like	IN	like
killer	NN	killer
military	JJ	military
jets	NNS	jet
and	CC	and
"	``	"
fresh	JJ	fresh
"	''	"
remakes	NNS	remake
that	WDT	that
are	VBP	be
ruining	VBG	ruin
old	JJ	old
classics	NNS	classic
This	DT	this
movie	NN	movie
will	MD	will
make	VB	make
you	PP	you
happy	JJ	happy
to	TO	to
say	VB	say
it	PP	it
's	VBZ	be
OK	JJ	OK
to	TO	to
laugh	VB	laugh
at	IN	at
"	``	"
Nothing	NN	nothing
"	''	"
