One	CD	One
of	IN	of
the	DT	the
most	JJS	most
heart	NN	heart
warming	VBG	warm
foreign	JJ	foreign
films	NNS	film
I	PP	I
've	VBP	have
ever	RB	ever
seen	VBN	see
The	DT	the
young	JJ	young
girl	NN	girl
is	VBZ	be
an	DT	an
amazing	JJ	amazing
talent	NN	talent
Stellar	NP	Stellar
performances	NNS	performance
by	IN	by
her	PP$	her
Doggie	NN	doggie
the	DT	the
old	JJ	old
man	NN	man
the	DT	the
king	NN	king
of	IN	of
masks	NNS	mask
and	CC	and
Liang	NP	Liang
the	DT	the
Living	VBG	live
Boddhisatva	NP	<unknown>
SPOILER	NN	spoiler
The	DT	the
deplorable	JJ	deplorable
treatment	NN	treatment
of	IN	of
children	NNS	child
especially	RB	especially
females	NNS	female
is	VBZ	be
disturbing	VBG	disturb
Loved	NP	<unknown>
the	DT	the
music	NN	music
The	DT	the
original	JJ	original
Chinese	JJ	Chinese
dialog	NN	dialog
heightens	VBZ	heighten
the	DT	the
emotional	JJ	emotional
intensity	NN	intensity
of	IN	of
the	DT	the
performances	NNS	performance
and	CC	and
the	DT	the
story	NN	story
This	DT	this
is	VBZ	be
a	DT	a
MUST	NP	Must
SEE	NP	See
enjoyable	JJ	enjoyable
family	NN	family
film	NN	film
although	IN	although
not	RB	not
for	IN	for
very	RB	very
young	JJ	young
children	NNS	child
Would	MD	Would
have	VB	have
rated	VBN	rate
the	DT	the
DVD	JJ	<unknown>
release	NN	release
even	RB	even
higher	JJR	high
if	IN	if
the	DT	the
soundtrack	NN	soundtrack
had	VBD	have
been	VBN	be
transferred	VBN	transfer
better	RBR	well
onto	IN	onto
the	DT	the
DVD	NN	<unknown>
and	CC	and
the	DT	the
transfer	NN	transfer
had	VBD	have
included	VBN	include
the	DT	the
widescreen	NN	<unknown>
version	NN	version
