There	EX	there
is	VBZ	be
a	DT	a
reason	NN	reason
why	WRB	why
this	DT	this
made	VBN	make
for	IN	for
British	JJ	British
TV	NN	TV
movie	NN	movie
only	RB	only
appeared	VBD	appear
at	IN	at
the	DT	the
1977	CD	@card@
Toronto	NP	Toronto
Film	NP	Film
Festival	NP	Festival
It	PP	it
is	VBZ	be
dull	JJ	dull
plodding	VBG	plod
and	CC	and
lacking	VBG	lack
in	IN	in
suspense	NN	suspense
Peter	NP	Peter
OTooles	NP	<unknown>
diffident	JJ	diffident
performance	NN	performance
and	CC	and
the	DT	the
appearance	NN	appearance
of	IN	of
playwright	NN	playwright
Harold	NP	Harold
Pinter	NP	Pinter
are	VBP	be
the	DT	the
only	JJ	only
elements	NNS	element
of	IN	of
interest	NN	interest
Note	VB	note
Some	DT	some
British	JJ	British
film	NN	film
fans	NNS	fan
will	MD	will
enjoy	VB	enjoy
seeing	VBG	see
Philip	NP	Philip
Jackson	NP	Jackson
best	RBS	well
known	VBN	know
for	IN	for
his	PP$	his
portrayal	NN	portrayal
of	IN	of
Inspector	NP	Inspector
Japp	NP	Japp
in	IN	in
the	DT	the
Poirot	NP	Poirot
television	NN	television
series	NN	series
in	IN	in
one	CD	one
of	IN	of
his	PP$	his
earliest	JJS	early
roles	NNS	role
