Oh	UH	oh
for	IN	for
crying	VBG	cry
out	RP	out
loud	RB	loud
this	DT	this
has	VBZ	have
got	VBN	get
to	TO	to
be	VB	be
the	DT	the
LAMEST	NP	<unknown>
movie	NN	movie
I	PP	I
've	VBP	have
seen	VBN	see
all	DT	all
year	NN	year
and	CC	and
I	PP	I
'm	VBP	be
sorry	RB	sorry
the	DT	the
normally	RB	normally
awesome	JJ	awesome
John	NP	John
Cusack	NP	Cusack
was	VBD	be
even	RB	even
involved	VBN	involve
in	IN	in
this	DT	this
brainless	JJ	brainless
twitty	NN	<unknown>
piece	NN	piece
of	IN	of
Stupidity	NP	<unknown>
Where	WRB	where
Sleepless	JJ	sleepless
in	IN	in
Seattle	NP	Seattle
delivered	VBN	deliver
what	WP	what
amounts	VBZ	amount
to	TO	to
be	VB	be
the	DT	the
same	JJ	same
message	NN	message
albeit	IN	albeit
on	IN	on
a	DT	a
more	RBR	more
subtle	JJ	subtle
somewhat	RB	somewhat
more	RBR	more
mature	JJ	mature
level	NN	level
Serendipity	NN	serendipity
delivers	VBZ	deliver
it	PP	it
with	IN	with
a	DT	a
sledgehammer	NN	sledgehammer
and	CC	and
then	RB	then
proceeds	VBZ	proceed
to	TO	to
pound	VB	pound
it	PP	it
into	IN	into
your	PP$	your
psyche	NN	psyche
for	IN	for
the	DT	the
next	JJ	next
tedious	JJ	tedious
hour	NN	hour
and	CC	and
a	DT	a
half	NN	half
or	CC	or
so	RB	so
and	CC	and
that	DT	that
's	VBZ	be
an	DT	an
hour	NN	hour
and	CC	and
a	DT	a
half	NN	half
of	IN	of
my	PP$	my
life	NN	life
I	PP	I
'll	MD	will
never	RB	never
get	VB	get
back	RB	back
again	RB	again
thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
It	PP	it
's	VBZ	be
bad	JJ	bad
enough	RB	enough
the	DT	the
main	JJ	main
characters	NNS	character
of	IN	of
this	DT	this
movie	NN	movie
have	VB	have
the	DT	the
emotional	JJ	emotional
maturity	NN	maturity
level	NN	level
of	IN	of
fourteen	NN	fourteen
year	NN	year
olds	NNS	old
actually	RB	actually
I	PP	I
've	VBP	have
known	VBN	know
better	JJR	good
fourteen	NN	fourteen
year	NN	year
olds	NNS	old
except	IN	except
maybe	RB	maybe
for	IN	for
Jeremy	NP	Jeremy
Piven	NP	Piven
who	WP	who
was	VBD	be
enjoyable	JJ	enjoyable
enough	RB	enough
Just	RB	just
the	DT	the
first	JJ	first
15	CD	@card@
minutes	NNS	minute
or	CC	or
so	RB	so
of	IN	of
the	DT	the
movie	NN	movie
where	WRB	where
Kate	NP	Kate
Beckinsale	NP	<unknown>
's	POS	's
character	NN	character
plays	VBZ	play
that	IN	that
annoying	VBG	annoy
silliness	NN	silliness
of	IN	of
a	DT	a
game	NN	game
about	IN	about
throwing	VBG	throw
all	DT	all
sensibility	NN	sensibility
to	TO	to
the	DT	the
wind	NN	wind
literally	RB	literally
had	VBD	have
my	PP$	my
best	JJS	good
friend	NN	friend
and	CC	and
I	PP	I
irritated	VBD	irritate
beyond	IN	beyond
belief	NN	belief
I	PP	I
told	VBD	tell
my	PP$	my
husband	NN	husband
Rockstar	NP	<unknown>
had	VBD	have
more	JJR	more
intelligence	NN	intelligence
and	CC	and
at	IN	at
least	JJS	least
the	DT	the
characters	NNS	character
in	IN	in
Rockstar	NP	<unknown>
were	VBD	be
n't	RB	n't
half	DT	half
as	RB	as
dysfunctional	JJ	dysfunctional
as	IN	as
the	DT	the
idiots	NNS	idiot
were	VBD	be
in	IN	in
this	DT	this
"	``	"
Serendipitous	JJ	serendipitous
"	''	"
mess	NN	mess
It	PP	it
's	VBZ	be
annoying	VBG	annoy
to	TO	to
watch	VB	watch
protagonists	NNS	protagonist
who	WP	who
seem	VBP	seem
to	TO	to
have	VB	have
no	DT	no
clue	NN	clue
about	IN	about
choice	NN	choice
in	IN	in
their	PP$	their
lives	NNS	life
and	CC	and
feel	VBP	feel
they	PP	they
're	VBP	be
nothing	RB	nothing
more	RBR	more
than	IN	than
puppets	NNS	puppet
to	TO	to
destiny	NN	destiny
and	CC	and
the	DT	the
whims	NNS	whim
of	IN	of
fate	NN	fate
How	WRB	How
utterly	RB	utterly
tiresome	JJ	tiresome
I	PP	I
'm	VBP	be
sure	RB	sure
this	DT	this
movie	NN	movie
will	MD	will
be	VB	be
more	RBR	more
likely	RB	likely
enjoyed	VBN	enjoy
by	IN	by
those	DT	those
who	WP	who
'd	MD	will
rather	RB	rather
not	RB	not
engage	VB	engage
in	IN	in
the	DT	the
chaotic	JJ	chaotic
messiness	NN	messiness
of	IN	of
making	VBG	make
more	RBR	more
complex	JJ	complex
life	NN	life
choices	NNS	choice
and	CC	and
then	RB	then
responsibly	RB	responsibly
living	VBG	live
with	IN	with
the	DT	the
consequences	NNS	consequence
After	IN	after
all	DT	all
here	RB	here
's	VBZ	be
a	DT	a
movie	NN	movie
where	WRB	where
our	PP$	our
hero	NN	hero
and	CC	and
heroine	NN	heroine
live	VBP	live
happily	RB	happily
ever	RB	ever
after	IN	after
only	RB	only
after	IN	after
wreaking	VBG	wreak
havoc	NN	havoc
and	CC	and
misery	NN	misery
on	IN	on
two	CD	two
other	JJ	other
people	NNS	people
's	POS	's
lives	NNS	life
namely	RB	namely
their	PP$	their
respective	JJ	respective
fiances	NNS	<unknown>
not	RB	not
to	TO	to
mention	VB	mention
other	JJ	other
relatives	NNS	relative
and	CC	and
friends	NNS	friend
just	RB	just
to	TO	to
get	VB	get
there	RB	there
