OK	UH	OK
let	VB	let
's	VBZ	be
get	VB	get
this	DT	this
clear	JJ	clear
I	PP	I
'm	VBP	be
really	RB	really
not	RB	not
into	IN	into
sci	NN	<unknown>
fi	NNS	<unknown>
but	CC	but
for	IN	for
some	DT	some
reason	NN	reason
I	PP	I
love	VBP	love
Stargate	JJ	<unknown>
SG	NP	SG
1	CD	1
Jack	NP	Jack
O'Neil	NP	O'Neil
takes	VBZ	take
his	PP$	his
team	NN	team
SG	NP	SG
1	CD	1
through	IN	through
a	DT	a
Stargate	NN	<unknown>
A	DT	a
round	NN	round
device	NN	device
that	WDT	that
creates	VBZ	create
a	DT	a
wormhole	NN	wormhole
It	PP	it
gives	VBZ	give
you	PP	you
the	DT	the
ability	NN	ability
to	TO	to
travel	VB	travel
to	TO	to
distant	JJ	distant
worlds	NNS	world
It	PP	it
might	MD	might
sound	VB	sound
like	IN	like
your	PP$	your
usual	JJ	usual
sci	NN	<unknown>
fi	NN	<unknown>
series	NN	series
but	CC	but
it	PP	it
's	VBZ	be
not	RB	not
The	DT	the
plot	NN	plot
is	VBZ	be
set	VBN	set
today	RB	today
not	RB	not
in	IN	in
some	DT	some
distant	JJ	distant
millennium	NN	millennium
like	IN	like
many	JJ	many
other	JJ	other
sci	NN	<unknown>
fi	NN	<unknown>
series	NN	series
I	PP	I
find	VBP	find
that	IN	that
great	RB	great
It	PP	it
gives	VBZ	give
you	PP	you
things	NNS	thing
happenings	NNS	happening
and	CC	and
such	JJ	such
you	PP	you
can	MD	can
relate	VB	relate
to	TO	to
and	CC	and
you	PP	you
can	MD	can
jump	VB	jump
into	IN	into
the	DT	the
series	NN	series
at	IN	at
any	DT	any
time	NN	time
without	IN	without
having	VBG	have
to	TO	to
learn	VB	learn
many	JJ	many
new	JJ	new
terms	NNS	term
and	CC	and
names	NNS	name
of	IN	of
all	PDT	all
the	DT	the
gadgets	NNS	gadget
They	PP	they
have	VBP	have
some	DT	some
of	IN	of
course	NN	course
but	CC	but
thanks	NNS	thank
to	TO	to
O'Neil	NP	O'Neil
who	WP	who
likes	VBZ	like
to	TO	to
keep	VB	keep
a	DT	a
simple	JJ	simple
terminology	NN	terminology
there	EX	there
's	VBZ	be
not	RB	not
many	JJ	many
The	DT	the
series	NN	series
has	VBZ	have
a	DT	a
nice	JJ	nice
blending	NN	blending
of	IN	of
action	NN	action
humor	NN	humor
and	CC	and
drama	NN	drama
If	IN	if
you	PP	you
enjoy	VBP	enjoy
loads	NNS	load
of	IN	of
special	JJ	special
effects	NNS	effect
you	PP	you
're	VBP	be
not	RB	not
going	VBG	go
to	TO	to
find	VB	find
it	PP	it
here	RB	here
They	PP	they
do	VBP	do
n't	RB	n't
use	VB	use
many	JJ	many
bad	JJ	bad
ones	NNS	one
but	CC	but
a	DT	a
limited	JJ	limited
amount	NN	amount
of	IN	of
well	RB	well
made	VBN	make
special	JJ	special
effects	NNS	effect
