What	WP	What
a	DT	a
good	JJ	good
movie	NN	movie
At	IN	at
last	JJ	last
a	DT	a
picture	NN	picture
revealing	VBG	reveal
a	DT	a
unknown	JJ	unknown
side	NN	side
of	IN	of
rock	NN	rock
illusions	NNS	illusion
of	IN	of
fame	NN	fame
Well	RB	well
known	VBN	know
Rockers	NP	Rockers
are	VBP	be
getting	VBG	get
old	JJ	old
and	CC	and
forgotten	VBN	forget
not	RB	not
the	DT	the
music	NN	music
And	CC	and
with	IN	with
a	DT	a
good	JJ	good
sense	NN	sense
of	IN	of
humour	NN	humour
Have	VBP	have
you	PP	you
ever	RB	ever
danced	VBD	dance
on	IN	on
Bill	NP	Bill
Haley	NP	Haley
's	POS	's
Rock	NP	Rock
Around	IN	around
the	DT	the
Clock	NP	Clock
Anyway	RB	anyway
Still	RB	still
Crazy	NP	Crazy
is	VBZ	be
probably	RB	probably
the	DT	the
best	JJS	good
movie	NN	movie
about	IN	about
rock	NN	rock
n'roll	NN	<unknown>
I	PP	I
have	VBP	have
ever	RB	ever
seen	VBN	see
Far	RB	far
much	RB	much
better	JJR	good
than	IN	than
Spinal	NP	<unknown>
Tap	NP	Tap
for	IN	for
instance	NN	instance
Why	WRB	why
Because	IN	because
in	IN	in
Still	RB	still
Crazy	NP	Crazy
people	NNS	people
are	VBP	be
mature	JJ	mature
They	PP	they
have	VBP	have
a	DT	a
different	JJ	different
point	NN	point
of	IN	of
view	NN	view
about	IN	about
rock	NN	rock
about	IN	about
love	NN	love
and	CC	and
about	IN	about
life	NN	life
They	PP	they
want	VBP	want
to	TO	to
catch	VB	catch
up	RP	up
with	IN	with
their	PP$	their
crazy	JJ	crazy
youth	NN	youth
they	PP	they
miss	VBP	miss
so	RB	so
much	RB	much
Beyond	IN	beyond
the	DT	the
story	NN	story
itself	PP	itself
we	PP	we
see	VBP	see
characters	NNS	character
with	IN	with
their	PP$	their
own	JJ	own
personality	NN	personality
weaknesses	NNS	weakness
and	CC	and
dreams	NNS	dream
Like	IN	like
anyone	NN	anyone
of	IN	of
us	PP	us
Spend	VB	spend
a	DT	a
good	JJ	good
time	NN	time
watching	VBG	watch
this	DT	this
listen	NN	listen
to	TO	to
the	DT	the
awesome	JJ	awesome
soundtrack	NN	soundtrack
and	CC	and
finally	RB	finally
thinking	VBG	think
of	IN	of
your	PP$	your
own	JJ	own
future	NN	future
Bye	NP	Bye
