All	PDT	All
the	DT	the
world	NN	world
said	VBD	say
that	IN	that
the	DT	the
film	NN	film
Tashan	NP	<unknown>
would	MD	would
be	VB	be
a	DT	a
good	JJ	good
movie	NN	movie
with	IN	with
great	JJ	great
pleasure	NN	pleasure
but	CC	but
this	DT	this
is	VBZ	be
not	RB	not
the	DT	the
case	NN	case
Vijay	NP	Vijay
Krishna	NP	Krishna
Acharya	NP	<unknown>
made	VBD	make
a	DT	a
serious	JJ	serious
mistake	NN	mistake
to	TO	to
take	VB	take
as	IN	as
an	DT	an
actress	NN	actress
Kareena	NP	<unknown>
Kapoor	NP	Kapoor
She	PP	she
was	VBD	be
unbearable	JJ	unbearable
throughout	IN	throughout
the	DT	the
film	NN	film
Her	PP$	her
tom	NN	tom
boy	NN	boy
look	NN	look
does	VBZ	do
not	RB	not
really	RB	really
goes	VBZ	go
well	RB	well
Even	RB	even
the	DT	the
film	NN	film
the	DT	the
story	NN	story
of	IN	of
the	DT	the
film	NN	film
is	VBZ	be
not	RB	not
making	VBG	make
sense	NN	sense
at	IN	at
all	DT	all
Everyone	NN	Everyone
said	VBD	say
that	IN	that
the	DT	the
Quetin	NP	<unknown>
Taratino	NP	<unknown>
of	IN	of
India	NP	India
is	VBZ	be
Vijay	NP	Vijay
but	CC	but
its	PP$	its
not	RB	not
at	IN	at
all	DT	all
Quetin	NP	<unknown>
The	DT	the
talent	NN	talent
Anil	NP	Anil
Kapoor	NP	Kapoor
was	VBD	be
involved	VBN	involve
in	IN	in
this	DT	this
stupid	JJ	stupid
movie	NN	movie
Anil	NP	Anil
is	VBZ	be
an	DT	an
actor	NN	actor
of	IN	of
large	JJ	large
caliber	NN	caliber
and	CC	and
this	DT	this
film	NN	film
is	VBZ	be
not	RB	not
Akshay	NP	Akshay
Kumar	NP	Kumar
has	VBZ	have
also	RB	also
been	VBN	be
a	DT	a
victim	NN	victim
of	IN	of
this	DT	this
film	NN	film
as	IN	as
all	DT	all
is	VBZ	be
Saif	NP	<unknown>
The	DT	the
Style	NP	Style
and	CC	and
the	DT	the
Phoormola	NP	<unknown>
is	VBZ	be
not	RB	not
really	RB	really
good	JJ	good
in	IN	in
this	DT	this
film	NN	film
i	NP	i
was	VBD	be
disappointed	VBN	disappoint
