When	WRB	when
tradition	NN	tradition
dictates	VBZ	dictate
that	IN	that
an	DT	an
artist	NN	artist
must	MD	must
pass	VB	pass
his	PP$	his
great	JJ	great
skills	NNS	skill
and	CC	and
magic	NN	magic
on	IN	on
to	TO	to
an	DT	an
heir	NN	heir
the	DT	the
aging	NN	aging
and	CC	and
very	RB	very
proud	JJ	proud
street	NN	street
performer	NN	performer
known	VBN	know
to	TO	to
all	DT	all
as	IN	as
"	``	"
The	DT	the
King	NP	King
of	IN	of
Masks	NP	<unknown>
"	``	"
becomes	VBZ	become
desperate	JJ	desperate
for	IN	for
a	DT	a
young	JJ	young
man	NN	man
apprentice	NN	apprentice
to	TO	to
adopt	VB	adopt
and	CC	and
cultivate	VB	cultivate
His	PP$	his
warmth	NN	warmth
and	CC	and
humanity	NN	humanity
tho	NN	<unknown>
find	VBP	find
him	PP	him
paying	VBG	pay
a	DT	a
few	JJ	few
dollars	NNS	dollar
for	IN	for
a	DT	a
little	JJ	little
person	NN	person
displaced	VBN	displace
by	IN	by
China	NP	China
's	POS	's
devastating	JJ	devastating
natural	JJ	natural
disasters	NNS	disaster
in	IN	in
this	DT	this
case	NN	case
massive	JJ	massive
flooding	NN	flooding
in	IN	in
the	DT	the
1930	CD	@card@
's	VBZ	be
He	PP	he
takes	VBZ	take
his	PP$	his
new	JJ	new
7	CD	7
year	NN	year
old	JJ	old
companion	NN	companion
onto	IN	onto
his	PP$	his
straw	JJ	straw
houseboat	NN	houseboat
to	TO	to
live	VB	live
with	IN	with
his	PP$	his
prized	JJ	prized
and	CC	and
beautiful	JJ	beautiful
monkey	NN	monkey
"	``	"
General	NP	General
"	''	"
only	RB	only
to	TO	to
discover	VB	discover
that	IN	that
the	DT	the
he	PP	he
child	NN	child
is	VBZ	be
a	DT	a
she	PP	she
child	NN	child
His	PP$	his
life	NN	life
is	VBZ	be
instantly	RB	instantly
transformed	VBN	transform
as	IN	as
the	DT	the
love	NN	love
he	PP	he
feels	VBZ	feel
for	IN	for
this	DT	this
little	JJ	little
slave	NN	slave
girl	NN	girl
becomes	VBZ	become
entwined	VBN	entwine
in	IN	in
the	DT	the
stupifying	VBG	<unknown>
tradition	NN	tradition
that	WDT	that
requires	VBZ	require
him	PP	him
to	TO	to
pass	VB	pass
his	PP$	his
art	NN	art
on	IN	on
only	RB	only
to	TO	to
a	DT	a
young	JJ	young
man	NN	man
There	EX	there
are	VBP	be
many	JJ	many
stories	NNS	storey
inside	IN	inside
this	DT	this
one	CD	one
many	JJ	many
people	NNS	people
are	VBP	be
touched	VBN	touch
and	CC	and
the	DT	the
culture	NN	culture
of	IN	of
China	NP	China
opens	VBZ	open
itself	PP	itself
for	IN	for
our	PP$	our
Western	JJ	Western
eye	NN	eye
to	TO	to
observe	VB	observe
Thousands	NNS	thousand
of	IN	of
years	NNS	year
of	IN	of
heritage	NN	heritage
boil	NN	boil
down	RB	down
into	IN	into
a	DT	a
teacup	NN	teacup
of	IN	of
drama	NN	drama
and	CC	and
few	JJ	few
will	MD	will
leave	VB	leave
this	DT	this
DVD	NN	<unknown>
behind	IN	behind
with	IN	with
a	DT	a
dry	JJ	dry
eye	NN	eye
The	DT	the
technical	JJ	technical
transfer	NN	transfer
itself	PP	itself
is	VBZ	be
not	RB	not
that	IN	that
great	JJ	great
as	IN	as
I	PP	I
found	VBD	find
the	DT	the
sound	JJ	sound
levels	NNS	level
all	RB	all
over	IN	over
the	DT	the
meter	NN	meter
and	CC	and
could	MD	could
actually	RB	actually
see	VB	see
the	DT	the
video	JJ	video
transfer	NN	transfer
lines	NNS	line
in	IN	in
several	JJ	several
parts	NNS	part
of	IN	of
the	DT	the
movie	NN	movie
Highly	NP	<unknown>
recommended	VBD	recommend
happy	JJ	happy
9	CD	9
10	CD	@card@
stars	NNS	star
