There	EX	there
is	VBZ	be
a	DT	a
word	NN	word
for	IN	for
this	DT	this
sort	NN	sort
of	IN	of
film	NN	film
and	CC	and
that	IN	that
word	NN	word
is	VBZ	be
"	``	"
drivel	VB	drivel
"	''	"
It	PP	it
was	VBD	be
drivel	NN	drivel
when	WRB	when
it	PP	it
was	VBD	be
a	DT	a
VHS	NP	VBS
rental	NN	rental
and	CC	and
it	PP	it
's	VBZ	be
drivel	NN	drivel
on	IN	on
satellite	NN	satellite
re	NN	re
runs	VBZ	run
now	RB	now
It	PP	it
might	MD	might
fool	VB	fool
you	PP	you
because	IN	because
it	PP	it
has	VBZ	have
2	CD	2
moderately	RB	moderately
well	RB	well
known	VBN	know
names	NNS	name
in	IN	in
Kistofferson	NP	<unknown>
and	CC	and
Henriksen	NP	Henriksen
reasonable	JJ	reasonable
soundtrack	NN	soundtrack
music	NN	music
and	CC	and
nice	JJ	nice
Monument	NP	<unknown>
Valley	NP	Valley
scenery	NN	scenery
It	PP	it
also	RB	also
has	VBZ	have
some	DT	some
curly	JJ	curly
haired	JJ	haired
woman	NN	woman
who	WP	who
fights	VBZ	fight
a	DT	a
lot	NN	lot
If	IN	if
that	WDT	that
's	VBZ	be
all	DT	all
you	PP	you
want	VBP	want
from	IN	from
a	DT	a
movie	NN	movie
then	RB	then
maybe	RB	maybe
this	DT	this
will	MD	will
keep	VB	keep
you	PP	you
happy	JJ	happy
It	PP	it
's	VBZ	be
still	RB	still
drivel	NN	drivel
though	IN	though
