What	WP	What
's	VBZ	be
up	RB	up
with	IN	with
Robert	NP	Robert
"	``	"
Pretentious	NP	<unknown>
"	''	"
Altman	NP	Altman
Was	VBD	be
he	PP	he
saving	VBG	save
on	IN	on
lighting	NN	lighting
Everything	NN	Everything
was	VBD	be
so	RB	so
dark	JJ	dark
in	IN	in
this	DT	this
boring	JJ	boring
movie	NN	movie
that	IN	that
it	PP	it
was	VBD	be
laughable	JJ	laughable
I	PP	I
mean	VBP	mean
have	VB	have
you	PP	you
ever	RB	ever
seen	VBN	see
a	DT	a
lawyer	NN	lawyer
's	POS	's
office	NN	office
where	WRB	where
everyone	NN	everyone
works	VBZ	work
by	IN	by
candlelight	NN	candlelight
Do	VBP	do
n't	RB	n't
waste	VB	waste
your	PP$	your
time	NN	time
In	IN	in
fact	NN	fact
do	VBP	do
n't	RB	n't
waste	VB	waste
your	PP$	your
time	NN	time
with	IN	with
anything	NN	anything
Altman	NP	Altman
makes	VBZ	make
It	PP	it
's	VBZ	be
all	PDT	all
a	DT	a
pretentious	JJ	pretentious
waste	NN	waste
of	IN	of
film	NN	film
