There	EX	there
was	VBD	be
not	RB	not
one	CD	one
original	JJ	original
idea	NN	idea
in	IN	in
this	DT	this
story	NN	story
Themes	NNS	theme
were	VBD	be
pulled	VBN	pull
from	IN	from
various	JJ	various
sources	NNS	source
a	DT	a
few	JJ	few
being	VBG	be
The	DT	the
Ninth	NP	<unknown>
Gate	NP	Gate
In	IN	in
the	DT	the
Mouth	NP	<unknown>
of	IN	of
Madness	NP	<unknown>
another	DT	another
Carpenter	NP	Carpenter
film	NN	film
and	CC	and
The	DT	the
Ring	NP	Ring
It	PP	it
even	RB	even
went	VBD	go
as	RB	as
far	RB	far
as	IN	as
featuring	VBG	feature
the	DT	the
same	JJ	same
damn	JJ	damn
glowing	JJ	glowing
circle	NN	circle
from	IN	from
The	DT	the
Ring	NP	Ring
and	CC	and
using	VBG	use
it	PP	it
as	IN	as
the	DT	the
film	NN	film
's	POS	's
namesake	NN	namesake
The	DT	the
soundtrack	NN	soundtrack
by	IN	by
Cody	NP	Cody
Carpenter	NP	Carpenter
was	VBD	be
all	RB	all
but	CC	but
lifted	VBN	lift
from	IN	from
Suspiria	NP	<unknown>
Hopefully	NP	Hopefully
no	DT	no
one	CD	one
will	MD	will
oppose	VB	oppose
this	DT	this
comment	NN	comment
by	IN	by
spewing	VBG	spew
the	DT	the
word	NN	word
HOMAGE	NN	homage
around	IN	around
Yes	UH	yes
I	PP	I
saw	VBD	see
that	IN	that
the	DT	the
theater	NN	theater
was	VBD	be
playing	VBG	play
Argento	NP	Argento
's	POS	's
Deep	NP	Deep
Red	NP	Red
Claiming	NP	<unknown>
an	DT	an
homage	NN	homage
would	MD	would
be	VB	be
a	DT	a
bullshit	NN	bullshit
cop	NN	cop
out	IN	out
This	DT	this
was	VBD	be
bottom	JJ	bottom
of	IN	of
the	DT	the
barrel	NN	barrel
Throwing	NN	throwing
gore	NN	gore
and	CC	and
"	``	"
disturbing	JJ	disturbing
"	''	"
imagery	NN	imagery
into	IN	into
the	DT	the
pot	NN	pot
does	VBZ	do
not	RB	not
make	VB	make
a	DT	a
good	JJ	good
horror	NN	horror
film	NN	film
Carpenter	NP	Carpenter
used	VBD	use
to	TO	to
know	VB	know
that	IN	that
He	PP	he
should	MD	should
fade	VB	fade
into	IN	into
obscurity	NN	obscurity
or	CC	or
acquire	VB	acquire
a	DT	a
time	NN	time
machine	NN	machine
