this	DT	this
slick	JJ	slick
gritty	JJ	gritty
film	NN	film
consistently	RB	consistently
delivers	VBZ	deliver
it	PP	it
's	VBZ	be
frankenheimer	NP	Frankenheimer
's	POS	's
best	JJS	good
most	RBS	most
underrated	VBN	underrate
films	NNS	film
it	PP	it
's	VBZ	be
easily	RB	easily
best	JJS	good
elmore	NN	<unknown>
leonard	NN	Leonard
adaptation	NN	adaptation
date	NN	date
scratching	VBG	scratch
head	NN	head
thinking	NN	thinking
"	''	"
but	CC	but
loved	VBD	love
shorty	NN	shorty
"	``	"
need	VB	need
punched	VBN	punch
face	NN	face
opinion	NN	opinion
no	RB	no
captures	VBZ	capture
"	``	"
feel	VB	feel
"	''	"
leonard	NN	Leonard
's	POS	's
characters	NNS	character
better	RBR	well
john	NN	john
glover	NN	glover
52	CD	@card@
pick	NN	pick
up	IN	up
relocation	NN	relocation
story	NN	story
detroit	NN	<unknown>
novel	NN	novel
hollywood	NN	<unknown>
film	NN	film
elevates	VBZ	elevate
story	NN	story
's	POS	's
sleaze	NN	sleaze
factor	NN	factor
amazing	JJ	amazing
heights	NNS	height
man	NN	man
few	JJ	few
beers	NNS	beer
watch	VBP	watch
reference	NN	reference
purposes	NNS	purpose
favorite	JJ	favorite
leonard	NN	Leonard
books	NNS	book
swag	VBP	swag
rum	JJ	rum
punch	NN	punch
cat	NN	cat
chaser	NN	chaser
city	NN	city
primeval	JJ	primeval
52	CD	@card@
pick	NN	pick
up	IN	up
favorite	JJ	favorite
frankenheimer	NN	<unknown>
films	NNS	film
include	VBP	include
seconds	NNS	second
manchurian	JJ	Manchurian
candidate	NN	candidate
real	JJ	real
special	JJ	special
place	NN	place
cold	JJ	cold
heart	NN	heart
dead	JJ	dead
bang	NN	bang
black	JJ	black
sunday	NN	Sunday
