we	PP	we
often	RB	often
talk	VBP	talk
cinema	NN	cinema
landmarks	NNS	landmark
kane	NN	<unknown>
godfather	NN	godfather
bout	NN	bout
souffle	NN	souffle
film	NN	film
however	RB	however
too	RB	too
often	RB	often
overlooked	VBN	overlook
"	``	"
serious	JJ	serious
"	''	"
film	NN	film
critics	NNS	critic
talking	VBG	talk
course	NN	course
classic	JJ	classic
doc	NN	doc
savage	NN	savage
m	NN	m
o	NN	o
b	NN	b
film	NN	film
not	RB	not
exciting	JJ	exciting
but	CC	but
seriously	RB	seriously
explores	VBZ	explore
issue	NN	issue
exploitation	NN	exploitation
developing	VBG	develop
nations	NNS	nation
imperialism	NN	imperialism
not	RB	not
mention	VBP	mention
kung	NP	kung
fu	NP	fu
possessed	VBD	possess
greatest	JJS	great
soundtrack	NN	soundtrack
film	NN	film
history	NN	history
course	NN	course
queen	NN	queen
's	POS	's
breathtaking	JJ	breathtaking
work	NN	work
flash	NN	flash
gordon	NN	<unknown>
although	IN	although
bit	NN	bit
rarity	NN	rarity
film	NN	film
well	RB	well
worth	JJ	worth
seeking	VBG	seek
repay	VB	repay
effort	NN	effort
search	NN	search
fold	NN	fold
