the	DT	the
great	JJ	great
caruso	NN	<unknown>
displays	VBZ	display
unique	JJ	unique
talents	NNS	talent
mario	NN	<unknown>
lanza	NN	<unknown>
shows	VBZ	show
great	JJ	great
acting	VBG	act
capacity	NN	capacity
top	JJ	top
form	NN	form
as	IN	as
lyrical	JJ	lyrical
singer	NN	singer
paired	VBN	pair
dorothy	JJ	<unknown>
kirsten	NN	<unknown>
soprano	NN	soprano
metropolitan	JJ	metropolitan
opera	NN	opera
dare	NN	dare
say	VBP	say
performs	VBZ	perform
songs	NNS	song
better	JJR	good
than	IN	than
caruso	NN	<unknown>
check	NN	check
a'vuchella	NN	<unknown>
tosti	NP	Tosti
la	FW	la
danza	NP	Danza
rossini	NP	Rossini
mgm	NN	<unknown>
art	NN	art
music	NN	music
departments	NNS	department
did	VBD	do
good	JJ	good
job	NN	job
perfect	JJ	perfect
not	RB	not
awkward	JJ	awkward
presence	NN	presence
ann	NP	Ann
blyth	NP	Blyth
trying	VBG	try
best	RBS	well
dressed	VBN	dress
fifties	NNS	fifty
style	NN	style
scenes	NNS	scene
just	RB	just
1920	CD	@card@
unforgivable	JJ	unforgivable
lanza	NN	<unknown>
deserved	VBD	deserve
better	JJR	good
leading	VBG	lead
lady	NN	lady
blyth	NNS	<unknown>
stick	VBP	stick
less	JJR	less
demanding	JJ	demanding
productions	NNS	production
notice	VBP	notice
ms	JJ	<unknown>
kirsten	NN	<unknown>
sings	VBZ	sing
most	JJS	most
opera	NN	opera
duets	NNS	duet
film	NN	film
lanza	NN	<unknown>
giving	VBG	give
wrong	JJ	wrong
notion	NN	notion
caruso	NN	<unknown>
kind	NN	kind
permanent	JJ	permanent
leading	VBG	lead
soprano	NN	soprano
