this	DT	this
typical	JJ	typical
mamet	NN	Mamet
film	NN	film
delivers	VBZ	deliver
quiet	JJ	quiet
evenly	RB	evenly
paced	VBN	pace
insight	NN	insight
makes	VBZ	make
confidence	NN	confidence
man	NN	man
joe	NN	joe
mantegna	NN	<unknown>
good	NN	good
explored	VBN	explore
as	IN	as
psychological	JJ	psychological
study	NN	study
noted	VBD	note
psychologist	NN	psychologist
lindsay	NN	<unknown>
crouse	JJ	crouse
slowly	RB	slowly
pulls	VBZ	pull
world	NN	world
usual	JJ	usual
nasty	JJ	nasty
consequences	NNS	consequence
cast	NN	cast
includes	VBZ	include
number	NN	number
players	NNS	player
mamet	NN	Mamet
's	POS	's
films	NNS	film
steven	JJ	<unknown>
goldstein	NN	<unknown>
jack	NN	jack
wallace	NN	<unknown>
ricky	JJ	<unknown>
jay	NN	jay
andy	NN	<unknown>
potok	NP	<unknown>
allen	NP	Allen
soule	NN	<unknown>
william	NP	William
h	NN	h
macy	NN	<unknown>
usual	JJ	usual
good	JJ	good
job	NN	job
loved	VBD	love
lindsay	JJ	<unknown>
crouse	JJ	crouse
film	NN	film
often	RB	often
wondered	VBD	wonder
did	VBD	do
n't	RB	n't
more	RBR	more
noted	VBN	note
player	NN	player
than	IN	than
i	NP	i
'm	VBP	be
not	RB	not
looking	VBG	look
right	JJ	right
places	NNS	place
proceeds	VBZ	proceed
slow	JJ	slow
pace	NN	pace
flat	JJ	flat
dialog	NN	dialog
yet	RB	yet
maintains	VBZ	maintain
level	NN	level
tension	NN	tension
logically	RB	logically
leads	VBZ	lead
bang	VB	bang
up	RP	up
ending	VBG	end
you	PP	you
'd	MD	will
expect	VB	expect
real	RB	real
let	VB	let
ending	VBG	end
but	CC	but
uplifting	VBG	uplift
satisfying	JJ	satisfying
love	NN	love
