i	NP	i
watch	NN	watch
school	NN	school
sum	NN	sum
up	IN	up
talentless	JJ	<unknown>
actors	NNS	actor
talentless	JJ	<unknown>
script	NN	script
talentless	JJ	<unknown>
director	NN	director
waste	NN	waste
time	NN	time
do	VBP	do
n't	RB	n't
watch	VB	watch
do	VBP	do
n't	RB	n't
bother	VB	bother
disappointed	JJ	disappointed
teacher	NN	teacher
said	VBD	say
supposed	JJ	supposed
good	JJ	good
wrong	NN	wrong
slept	VBD	sleep
little	JJ	little
movie	NN	movie
's	POS	's
actors	NNS	actor
just	RB	just
bad	RB	bad
best	JJS	good
actor	NN	actor
old	JJ	old
man	NN	man
that	WDT	that
's	VBZ	be
not	RB	not
saying	VBG	say
much	JJ	much
it	PP	it
's	VBZ	be
horrible	JJ	horrible
plot	NN	plot
awful	JJ	awful
characters	NNS	character
unrealistic	JJ	unrealistic
honestly	RB	honestly
said	VBD	say
no	DT	no
point	NN	point
script	NN	script
unemotional	JJ	unemotional
confusing	JJ	confusing
points	NNS	point
furrowed	VBD	furrow
brows	NNS	brow
said	VBD	say
"	``	"
what	WP	what
"	``	"
just	RB	just
too	RB	too
many	JJ	many
loose	JJ	loose
ties	NNS	tie
plot	NN	plot
holes	VBZ	hole
just	RB	just
absolutely	RB	absolutely
horrendous	JJ	horrendous
