there	EX	there
's	VBZ	be
tons	NNS	ton
good	JJ	good
looking	VBG	look
women	NNS	woman
flick	VBP	flick
but	CC	but
alas	UH	alas
nudity	NN	nudity
free	JJ	free
grrrrrrrrrr	NP	<unknown>
strike	NN	strike
ahem	NP	ahem
story	NN	story
film	NN	film
takes	VBZ	take
place	VB	place
1971	CD	@card@
hell	NN	hell
main	JJ	main
characters	NNS	character
driving	VBG	drive
kia	NN	<unknown>
sportage	NN	<unknown>
hello	NN	hello
continuity	NN	continuity
as	RB	as
know	VB	know
released	VBN	release
stereoscopic	JJ	stereoscopic
3d	JJ	<unknown>
most	RBS	most
hideous	JJ	hideous
effect	NN	effect
seen	VBN	see
i	NNS	i
'm	VBP	be
not	RB	not
sure	JJ	sure
botched	JJ	botched
job	NN	job
but	CC	but
no	DT	no
3d	JJ	<unknown>
just	JJ	just
double	JJ	double
vision	NN	vision
blurs	NNS	blur
did	VBD	do
n't	RB	n't
problem	NN	problem
company	NN	company
's	POS	's
3d	JJ	<unknown>
hunting	NN	hunting
season	NN	season
camp	NN	camp
blood	NN	blood
sure	JJ	sure
3d	JJ	<unknown>
ones	NNS	one
sucked	VBD	suck
too	RB	too
but	CC	but
semblance	NN	semblance
3d	JJ	<unknown>
effect	NN	effect
thing	NN	thing
big	JJ	big
ball	NN	ball
nothing	NN	nothing
women	NNS	woman
played	VBD	play
daughter	NN	daughter
ear	NN	ear
eating	VBG	eat
dame	NN	dame
yum	NN	<unknown>
i	NP	i
'd	MD	will
like	VB	like
more	RBR	more
as	IN	as
well	RB	well
looks	VBZ	look
like	IN	like
janet	NN	<unknown>
margolin	NN	<unknown>
young	JJ	young
age	NN	age
purrrrrrrrrrrrrrrr	NP	<unknown>
