i	NP	i
watched	VBD	watch
dismayed	VBN	dismay
say	VBP	say
least	JJS	least
failed	VBD	fail
communicate	VB	communicate
as	IN	as
audience	NN	audience
language	NN	language
shame	NN	shame
street	NN	street
loafers	NNS	loafer
plot	NN	plot
father	NN	father
forcing	VBG	force
none	NN	none
son	NN	son
marry	VB	marry
far	RB	far
fetched	VBN	fetch
idea	NN	idea
grandmother	NN	grandmother
asking	VBG	ask
grand	JJ	grand
kid	NN	kid
mess	NN	mess
up	IN	up
enemy	NN	enemy
draw	NN	draw
feeble	JJ	feeble
minded	VBN	mind
's	POS	's
attention	NN	attention
waiting	VBG	wait
whole	JJ	whole
laugh	NN	laugh
laugh	NN	laugh
did	VBD	do
stupidity	NN	stupidity
waste	NN	waste
3	CD	3
hours	NNS	hour
convince	VBP	convince
myself	PP	myself
not	RB	not
worth	JJ	worth
look	NN	look
hope	NN	hope
saves	VBZ	save
time	NN	time
