what	WP	what
waste	NN	waste
time	NN	time
i	NNS	i
've	VBP	have
tried	VBN	try
sit	NN	sit
'	POS	'
sky	NN	sky
captain	NN	captain
"	``	"
6	CD	6
times	NNS	time
time	NN	time
3	CD	3
minutes	NNS	minute
start	VBP	start
doing	VBG	do
else	RB	else
it	PP	it
's	VBZ	be
downright	RB	downright
boring	VBG	bore
acting	VBG	act
terrible	JJ	terrible
writing	VBG	write
dull	JJ	dull
obviously	RB	obviously
time	NN	time
director	NN	director
it	PP	it
's	VBZ	be
stiff	RB	stiff
wanted	VBN	want
love	NN	love
love	NN	love
sci	NP	<unknown>
fi	NP	<unknown>
old	JJ	old
cliffhangers	NNS	cliffhanger
appreciate	VBP	appreciate
attempt	NN	attempt
nods	VBZ	nod
flash	JJ	flash
gordon	NN	<unknown>
metropolis	NN	metropolis
but	CC	but
god	NN	god
waste	NN	waste
money	NN	money
used	VBD	use
work	VB	work
paramount	JJ	paramount
pictures	NNS	picture
written	VBN	write
sherry	NN	sherry
lansing	VBG	<unknown>
1993	CD	@card@
using	VBG	use
blue	JJ	blue
screen	NN	screen
screen	NN	screen
tests	NNS	test
told	VBD	tell
they	PP	they
'd	MD	will
never	RB	never
interest	VB	interest
need	NN	need
10	CD	@card@
years	NNS	year
later	RBR	later
paramount	JJ	paramount
releases	NNS	release
piece	NN	piece
crap	NN	crap
sherry	NN	sherry
right	JJ	right
1993	CD	@card@
but	CC	but
forgotten	VBN	forget
advice	NN	advice
greenlighted	JJ	<unknown>
dog	NN	dog
blue	JJ	blue
screen	NN	screen
effect	NN	effect
shot	NN	shot
but	CC	but
not	RB	not
entire	JJ	entire
let	NN	let
's	POS	's
not	RB	not
forget	VB	forget
neither	DT	neither
jude	NN	<unknown>
nor	CC	nor
jolie	JJ	<unknown>
terrific	JJ	terrific
actors	NNS	actor
but	CC	but
easy	JJ	easy
eyes	NNS	eye
paltrow	NP	Paltrow
's	POS	's
performance	NN	performance
reminds	VBZ	remind
high	JJ	high
school	NN	school
effort	NN	effort
too	RB	too
bad	JJ	bad
could	MD	could
've	VBP	have
worked	VBN	work
but	CC	but
under	IN	under
skilled	JJ	skilled
director	NN	director
funny	JJ	funny
thing	NN	thing
sky	NN	sky
captain	NN	captain
's	POS	's
director	NN	director
getting	VBG	get
work	NN	work
dreck	NN	dreck
it	PP	it
's	VBZ	be
commerce	NN	commerce
not	RB	not
art	NN	art
