when	WRB	when
comes	VBZ	come
pretty	RB	pretty
picky	JJ	picky
i	NP	i
'll	MD	will
complain	VB	complain
wrong	JJ	wrong
while	IN	while
flaws	NNS	flaw
night	NN	night
listener	NN	listener
exceptionally	RB	exceptionally
low	JJ	low
count	NN	count
read	VBD	read
review	VB	review
hard	RB	hard
half	DT	half
written	JJ	written
caps	NNS	cap
contained	VBD	contain
no	DT	no
actual	JJ	actual
information	NN	information
led	VBD	lead
believe	VB	believe
not	RB	not
too	RB	too
well	RB	well
unfortunately	RB	unfortunately
read	VB	read
more	JJR	more
than	IN	than
3	CD	3
lines	NNS	line
review	NN	review
discovered	VBD	discover
poster	NN	poster
's	POS	's
reason	NN	reason
disdain	NN	disdain
does	VBZ	do
not	RB	not
like	VB	like
fact	NN	fact
director	NN	director
gay	JJ	gay
production	NN	production
team	NN	team
smokes	VBZ	smoke
crack	VB	crack
apparently	RB	apparently
despite	IN	despite
fact	NN	fact
never	RB	never
written	VBN	write
review	NN	review
thought	NN	thought
deserved	VBD	deserve
based	VBN	base
merits	NNS	merit
not	RB	not
sexual	JJ	sexual
orientation	NN	orientation
director	NN	director
let	NN	let
's	POS	's
quick	JJ	quick
checklist	NN	checklist
1	CD	1
great	JJ	great
plot	NN	plot
absolutely	RB	absolutely
wo	MD	wo
n't	RB	n't
shred	VB	shred
away	RP	away
but	CC	but
plot	VB	plot
highly	RB	highly
compelling	JJ	compelling
definitely	RB	definitely
not	RB	not
expect	VB	expect
based	VBN	base
commercials	NNS	commercial
thriller	NN	thriller
not	RB	not
horror	NN	horror
approached	VBN	approach
as	IN	as
story	NN	story
really	RB	really
amaze	VB	amaze
more	RBR	more
it	PP	it
's	VBZ	be
true	JJ	true
plot	NN	plot
did	VBD	do
stay	VB	stay
quite	RB	quite
faithful	JJ	faithful
actual	JJ	actual
events	NNS	event
2	CD	2
wonderful	JJ	wonderful
acting	VBG	act
oh	UH	oh
yes	UH	yes
robin	NN	robin
williams	NNS	<unknown>
long	RB	long
ago	RB	ago
broke	VBD	break
free	JJ	free
chains	NNS	chain
comedy	NN	comedy
type	NN	type
cast	NN	cast
flourished	VBD	flourish
serious	JJ	serious
roles	NNS	role
many	JJ	many
people	NNS	people
wrote	VBD	write
just	RB	just
decade	NN	decade
ago	RB	ago
again	RB	again
achieves	VBZ	achieve
high	JJ	high
form	NN	form
role	NN	role
night	NN	night
listener	NN	listener
playing	VBG	play
radio	NN	radio
host	NN	host
increasingly	RB	increasingly
troubled	VBN	trouble
entangled	JJ	entangled
case	NN	case
well	RB	well
i	NP	i
'll	MD	will
let	VB	let
3	CD	3
excellent	JJ	excellent
direction	NN	direction
certainly	RB	certainly
unlike	IN	unlike
poster	NN	poster
referred	VBD	refer
actually	RB	actually
know	VB	know
direction	NN	direction
i	NNS	i
've	VBP	have
sutdying	JJ	<unknown>
art	NN	art
direction	NN	direction
school	NN	school
3	CD	3
years	NNS	year
course	NN	course
really	RB	really
do	VBP	do
n't	RB	n't
think	VB	think
makes	NNS	make
lick	VB	lick
difference	NN	difference
thing	NN	thing
matters	NNS	matter
like	IN	like
direction	NN	direction
but	CC	but
thought	VBD	think
simply	RB	simply
establish	VB	establish
again	RB	again
i	NNS	i
'm	VBP	be
basing	VBG	base
opinions	NNS	opinion
substantial	JJ	substantial
relevant	JJ	relevant
example	NN	example
not	RB	not
sexual	JJ	sexual
orientation	NN	orientation
director	NN	director
alleged	VBD	allege
drug	NN	drug
habits	NNS	habit
production	NN	production
team	NN	team
lol	NN	<unknown>
patrick	NP	Patrick
stettner	NP	Stettner
's	POS	's
direction	NN	direction
moody	JJ	moody
dark	NN	dark
allowed	VBD	allow
angles	NNS	angle
lighting	VBG	light
help	NN	help
create	VB	create
sought	VBN	seek
feelings	NNS	feeling
"	''	"
tension	NN	tension
release	NN	release
"	''	"
than	IN	than
messy	JJ	messy
fast	JJ	fast
paced	VBN	pace
camera	NN	camera
work	NN	work
quick	JJ	quick
cuts	NNS	cut
we	PP	we
're	VBP	be
often	RB	often
subjected	VBN	subject
today	NN	today
people	NNS	people
truly	RB	truly
story	NN	story
camera	NN	camera
while	IN	while
other	JJ	other
's	VBZ	be
feel	VB	feel
as	RB	as
make	VB	make
story	NN	story
camera	NN	camera
really	RB	really
appreciate	VB	appreciate
days	NNS	day
courage	NN	courage
just	RB	just
use	VBP	use
camera	NN	camera
as	IN	as
supposed	VBN	suppose
utilized	VBN	utilize
as	IN	as
eyeball	NN	eyeball
all	DT	all
4	CD	4
lighting	NN	lighting
cinematography	NN	cinematography
editing	VBG	edit
great	JJ	great
all	DT	all
i	NP	i
've	VBP	have
wrote	VBD	write
much	JJ	much
things	NNS	thing
paragraphs	VBZ	paragraph
i	NP	i
'll	MD	will
just	RB	just
wrap	VB	wrap
up	RP	up
short	RB	short
do	VBP	do
n't	RB	n't
listen	VB	listen
people	NNS	people
alterior	NN	<unknown>
motives	NNS	motive
trashing	VBG	trash
especially	RB	especially
they	PP	they
're	VBP	be
stupid	JJ	stupid
unknowingly	RB	unknowingly
reveal	VBP	reveal
motive	NN	motive
1	CD	1
4	CD	4
way	NN	way
post	NN	post
enjoy	VBP	enjoy
ben	NP	ben
