i	NP	i
watched	VBD	watch
almost	RB	almost
quite	RB	quite
kid	NN	kid
naturally	RB	naturally
moved	VBD	move
tears	NNS	tear
story	NN	story
fox	NN	fox
family	NN	family
fantastic	JJ	fantastic
scenery	NN	scenery
hokkaid	NN	<unknown>
excellent	JJ	excellent
storytelling	NN	storytelling
not	RB	not
least	JJS	least
wonderful	JJ	wonderful
soundtrack	NN	soundtrack
provide	VB	provide
rare	JJ	rare
intimacy	NN	intimacy
protagonists	NNS	protagonist
still	RB	still
searching	VBG	search
copy	NN	copy
gorgeous	JJ	gorgeous
soundtrack	NN	soundtrack
german	NN	german
viewers	NNS	viewer
useful	JJ	useful
know	VBP	know
defa	NN	<unknown>
dubbing	VBG	dub
worth	JJ	worth
listening	NN	listening
taped	VBD	tape
defa	NN	<unknown>
br	NN	<unknown>
but	CC	but
viewing	NN	viewing
