i	NP	i
bought	VBD	buy
tower	NN	tower
records	NNS	record
seeing	VBG	see
info	NN	info
mercial	NN	<unknown>
times	CC	times
comedy	NN	comedy
central	NN	central
actually	RB	actually
really	RB	really
looking	VBG	look
forward	RB	forward
watching	VBG	watch
god	NN	god
did	VBD	do
wrong	JJ	wrong
review	NN	review
let	VBD	let
just	RB	just
say	VB	say
person	NN	person
pretty	RB	pretty
much	RB	much
good	JJ	good
all	DT	all
hell	NN	hell
1	CD	1
500	CD	@card@
dvd	NN	<unknown>
's	VBZ	be
said	VBN	say
underground	JJ	underground
comedy	NN	comedy
ranks	VBZ	rank
up	IN	up
worst	JJS	bad
film	NN	film
seen	VBN	see
tried	JJ	tried
chance	NN	chance
but	CC	but
not	RB	not
not	RB	not
funny	JJ	funny
no	DT	no
point	NN	point
did	VBD	do
not	RB	not
offend	VB	offend
all	DT	all
stupid	JJ	stupid
god	NN	god
right	NN	right
mind	NN	mind
thought	VBD	think
pieces	NNS	piece
crap	VB	crap
funny	JJ	funny
going	VBG	go
right	NN	right
the	DT	the
bin	NN	bin
