i	NP	i
just	RB	just
watched	VBD	watch
starz	RB	<unknown>
let	VB	let
few	JJ	few
things	NNS	thing
thought	VBD	think
improved	VBN	improve
acting	VBG	act
writing	NN	writing
directing	VBG	direct
special	JJ	special
effects	NNS	effect
camera	NN	camera
crew	NN	crew
sound	NN	sound
lighting	VBG	light
as	IN	as
though	IN	though
writers	NNS	writer
no	DT	no
idea	NN	idea
apparently	RB	apparently
2007	CD	@card@
dollar	NN	dollar
stronger	JJR	strong
buy	NN	buy
super	JJ	super
advanced	JJ	advanced
stealth	NN	stealth
bomber	NN	bomber
completely	RB	completely
invisible	JJ	invisible
$75	NN	<unknown>
million	CD	million
days	NNS	day
things	NNS	thing
cost	VBD	cost
$3	JJ	<unknown>
billion	CD	billion
cant	NN	cant
invisible	JJ	invisible
apparently	RB	apparently
fly	VBP	fly
middle	JJ	middle
east	JJ	east
hour	NN	hour
completely	RB	completely
random	JJ	random
lesbian	JJ	lesbian
scene	NN	scene
did	VBD	do
n't	RB	n't
mind	VB	mind
but	CC	but
like	VB	like
lame	JJ	lame
attempt	NN	attempt
more	JJR	more
guys	NNS	guy
camera	NN	camera
randomly	RB	randomly
zoom	VB	zoom
actors	NNS	actor
skip	VB	skip
random	JJ	random
scenes	NNS	scene
oh	UH	oh
yeah	RB	yeah
steven	JJ	<unknown>
segal	JJ	<unknown>
predictable	JJ	predictable
as	RB	as
hell	NN	hell
all	PDT	all
all	DT	all
rank	JJ	rank
right	NN	right
up	RB	up
snakes	VBZ	snake
plane	NN	plane
