i	NP	i
did	VBD	do
n't	RB	n't
really	RB	really
know	VB	know
expect	VB	expect
going	VBG	go
watch	NN	watch
film	NN	film
apart	RB	apart
slightly	RB	slightly
surreal	JJ	surreal
basic	JJ	basic
plotline	NN	<unknown>
lonely	JJ	lonely
man	NN	man
orders	NNS	order
russian	JJ	Russian
bride	NN	bride
internet	NN	Internet
nicole	NN	<unknown>
kidman	NN	<unknown>
absolutely	RB	absolutely
loved	VBD	love
film	NN	film
though	RB	though
came	VBD	come
thinking	NN	thinking
'	POS	'
wow	NN	wow
'	''	'
refreshingly	RB	refreshingly
earth	NN	earth
film	NN	film
moves	VBZ	move
nicely	RB	nicely
few	JJ	few
suprises	NNS	<unknown>
corner	NN	corner
relationships	NNS	relationship
film	NN	film
believeable	JJ	<unknown>
nicole	NN	<unknown>
chaplin	NN	<unknown>
working	VBG	work
against	IN	against
beautifully	RB	beautifully
humour	VB	humour
subtle	JJ	subtle
great	JJ	great
'	''	'
office	NN	office
'	POS	'
like	JJ	like
scenes	NNS	scene
bank	NN	bank
thriller	NN	thriller
element	NN	element
add	VBP	add
tension	NN	tension
hollywood	NN	<unknown>
overall	JJ	overall
film	NN	film
real	JJ	real
people	NNS	people
unusual	JJ	unusual
situation	NN	situation
it	PP	it
's	VBZ	be
less	JJR	less
heroics	NNS	heroics
more	RBR	more
delicate	JJ	delicate
relationships	NNS	relationship
brit	NN	brit
filmmaking	VBG	filmmak
best	JJS	good
9	CD	9
10	CD	@card@
