this	DT	this
biggest	JJS	big
pile	NN	pile
crap	NN	crap
watched	VBD	watch
not	RB	not
rent	VB	rent
makers	NNS	maker
band	NN	band
making	NN	making
starts	VBZ	start
plot	NN	plot
fades	NNS	fade
fast	JJ	fast
nothing	NN	nothing
think	VBP	think
watch	NN	watch
paint	NN	paint
dry	JJ	dry
as	IN	as
much	JJ	much
as	IN	as
looking	VBG	look
cover	NN	cover
actors	NNS	actor
awful	JJ	awful
plot	NN	plot
faded	VBD	fade
fast	JJ	fast
filming	VBG	film
left	VBD	leave
much	RB	much
work	VB	work
not	RB	not
good	JJ	good
thing	NN	thing
say	VBP	say
crap	NN	crap
rent	NN	rent
waste	NN	waste
money	NN	money
really	RB	really
enjoy	VBP	enjoy
national	JJ	national
lampoon	NN	lampoon
but	CC	but
waste	NN	waste
time	NN	time
learn	VBP	learn
write	VB	write
learn	VB	learn
act	NN	act
learn	VBP	learn
produce	VB	produce
learn	VB	learn
direct	JJ	direct
feel	VBP	feel
sue	VB	sue
holes	NNS	hole
money	NN	money
wasted	VBD	waste
rental	JJ	rental
cost	NN	cost
time	NN	time
lost	VBD	lose
