i	NP	i
looked	VBD	look
forward	JJ	forward
seeing	VBG	see
saw	VBD	see
listed	JJ	listed
work	NN	work
finally	RB	finally
yesterday	RB	yesterday
2	CD	2
13	CD	@card@
02	CD	@card@
lifetime	NN	lifetime
channel	NN	channel
jim	NN	<unknown>
larson	NN	<unknown>
's	POS	's
comments	NNS	comment
"	``	"
sweet	JJ	sweet
funny	JJ	funny
story	NN	story
2	CD	2
people	NNS	people
crossing	VBG	cross
paths	NNS	path
"	``	"
dead	JJ	dead
writers	NNS	writer
probably	RB	probably
should	MD	should
n't	RB	n't
bonus	NN	bonus
sro	NN	<unknown>
making	VBG	make
anybody	NN	anybody
appreciates	VBZ	appreciate
romantic	JJ	romantic
natasha	NN	<unknown>
's	POS	's
screen	NN	screen
presence	NN	presence
warm	JJ	warm
smile	NN	smile
electric	NN	electric
say	VBP	say
nothing	NN	nothing
beauty	NN	beauty
goes	VBZ	go
favorite	JJ	favorite
list	NN	list
tv	NN	tv
print	NN	print
interviews	NNS	interview
seen	VBN	see
just	RB	just
as	IN	as
refreshing	VBG	refresh
well	RB	well
worth	JJ	worth
looking	VBG	look
god	NN	god
bless	VB	bless
her	PP$	her
family	NN	family
future	NN	future
endeavors	NNS	endeavor
does	VBZ	do
n't	RB	n't
available	JJ	available
dvd	NN	<unknown>
video	NN	video
yet	RB	yet
but	CC	but
buy	VB	buy
think	VB	think
too	RB	too
