i	NP	i
just	RB	just
saw	VBD	see
today	NN	today
children	NNS	child
son	NN	son
10	CD	@card@
daughter	NN	daughter
4	CD	4
5	CD	5
3rd	JJ	3rd
annual	JJ	annual
roger	NN	<unknown>
ebert	NN	<unknown>
overlooked	VBD	overlook
film	NN	film
festival	NN	festival
film	NN	film
children	NNS	child
audience	NN	audience
allowed	VBD	allow
ask	VB	ask
questions	NNS	question
director	NN	director
tian	JJ	<unknown>
ming	NN	<unknown>
wu	NN	<unknown>
translator	NN	translator
told	VBD	tell
stories	NNS	storey
life	NN	life
making	VBG	make
film	NN	film
all	DT	all
tangents	NNS	tangent
aside	RP	aside
children	NNS	child
really	RB	really
enjoyed	VBN	enjoy
course	NN	course
paraphrase	VBP	paraphrase
many	JJ	many
subtitles	NNS	subtitle
daughter	NN	daughter
but	CC	but
much	JJ	much
film	NN	film
visually	RB	visually
self	NN	self
explanatory	JJ	explanatory
wo	MD	wo
n't	RB	n't
away	RB	away
but	CC	but
line	NN	line
film	NN	film
much	RB	much
better	JJR	good
than	IN	than
95	CD	@card@
%	NN	%
hollywood	NN	<unknown>
crap	NN	crap
especially	RB	especially
children	NNS	child
's	POS	's
films	NNS	film
cheers	VBZ	cheer
p	NN	p
s	NNS	<unknown>
"	``	"
real	JJ	real
"	''	"
original	JJ	original
king	NN	king
masks	VBZ	mask
12	CD	@card@
masks	NNS	mask
actor	NN	actor
trained	VBN	train
learned	VBD	learn
up	RB	up
4	CD	4
masks	NNS	mask
time	NN	time
cut	VBD	cut
change	VB	change
4	CD	4
new	JJ	new
masks	NNS	mask
