i	NP	i
thought	VBD	think
pretty	RB	pretty
lame	VB	lame
you	PP	you
're	VBP	be
looking	VBG	look
cheesey	NN	<unknown>
like	IN	like
myself	PP	myself
do	VBP	do
n't	RB	n't
mind	VB	mind
fair	JJ	fair
cheese	NN	cheese
but	CC	but
ridiculous	JJ	ridiculous
progression	NN	progression
bored	VBN	bore
storyline	NN	storyline
very	RB	very
weak	JJ	weak
thing	NN	thing
entertaining	JJ	entertaining
day	NN	day
glo	NN	<unknown>
zombies	NNS	zombie
but	CC	but
is	VBZ	be
n't	RB	n't
reason	NN	reason
enough	JJ	enough
flick	NN	flick
